subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.554;05.554;0;0
05.554;05.555;3525;0.078865
05.554;05.556;2143;0.184788
05.554;05.557;4241;0.366659
05.554;05.558;2173;0.191901
05.554;05.559;2202;0.31426
05.554;05.560;1192;0.106544
05.554;05.561;5301;0.179777
05.554;05.562;4936;0.406807
05.554;05.563;3110;0.344695
05.554;05.564;2689;0.035329
05.554;05.565;4697;0.261018
05.554;05.566;1835;0.049046
05.554;05.567;3410;0.024633
05.554;05.568;1706;0.152403
05.554;05.569;1208;0.104305
05.554;05.570;3548;0.431229
05.554;05.571;1113;0.171608
05.554;05.572;1450;0.04
05.554;05.573;1731;0.181398
05.554;05.574;598;0.028428
05.554;05.575;2191;0.056595
05.554;05.576;103;0.106796
05.554;05.577;163;0.03681
05.554;05.578;233;0.021459
05.554;05.579;422;0.028436
05.554;05.580;74;0.054054
05.554;05.581;54;0.074074
05.554;05.582;581;0.122203
05.554;05.583;65;0.153846
05.554;05.584;136;0.080882
05.554;05.585;2048;0.061035
05.554;05.586;179;0.139665
05.554;05.587;82;0.134146
05.554;05.588;129;0.015504
05.554;05.589;397;0.108312
05.554;05.590;1727;0.077012
05.554;05.591;1280;0.021875
05.554;05.592;49;0.040816
05.554;05.593;168;0.089286
05.554;05.594;58;0.086207
05.554;05.595;1522;0.02431
05.554;05.596;880;0.023864
05.554;05.597;130;0.038462
05.554;05.598;166;0.054217
05.554;05.599;97;0.051546
05.554;05.600;103;0.097087
05.554;05.601;113;0.123894
05.554;05.604;110;0.136364
05.554;05.607;82;0.085366
05.554;05.611;1706;0.148886
05.554;05.613;618;0.017799
05.554;05.614;1585;0.403155
05.554;05.615;2841;0.008448
05.554;05.616;78;0.102564
05.554;22.400;47;0.191489
05.555;05.554;3525;0.078865
05.555;05.555;0;0
05.555;05.556;1834;0.230643
05.555;05.557;2637;0.301858
05.555;05.558;2088;0.247605
05.555;05.559;1498;0.263685
05.555;05.560;1148;0.182056
05.555;05.561;3482;0.104825
05.555;05.562;2947;0.356295
05.555;05.563;1542;0.294423
05.555;05.564;2474;0.091754
