subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.554;05.554;0;0
05.554;05.555;1804;0.065965
05.554;05.556;1165;0.16309
05.554;05.557;1990;0.321608
05.554;05.558;1107;0.154472
05.554;05.559;851;0.178613
05.554;05.560;540;0.101852
05.554;05.561;2584;0.112616
05.554;05.562;1888;0.342161
05.554;05.563;2046;0.349951
05.554;05.564;1570;0.024841
05.554;05.565;3327;0.281335
05.554;05.566;655;0.051908
05.554;05.567;1938;0.024768
05.554;05.568;852;0.13615
05.554;05.569;607;0.128501
05.554;05.570;2075;0.474699
05.554;05.571;648;0.209877
05.554;05.572;774;0.037468
05.554;05.573;732;0.113388
05.554;05.574;451;0.035477
05.554;05.575;1056;0.069129
05.554;05.576;37;0.054054
05.554;05.577;63;0.047619
05.554;05.578;105;0.038095
05.554;05.579;172;0.040698
05.554;05.580;41;0.04878
05.554;05.581;21;0.047619
05.554;05.582;317;0.107256
05.554;05.583;30;0.133333
05.554;05.584;75;0.08
05.554;05.585;1568;0.03125
05.554;05.586;106;0.141509
05.554;05.587;42;0.095238
05.554;05.588;30;0
05.554;05.589;224;0.066964
05.554;05.590;1100;0.089091
05.554;05.591;654;0.035168
05.554;05.592;16;0.0625
05.554;05.593;105;0.047619
05.554;05.594;32;0.03125
05.554;05.595;1382;0.023155
05.554;05.596;596;0.015101
05.554;05.597;63;0.015873
05.554;05.598;49;0.040816
05.554;05.599;52;0.076923
05.554;05.600;50;0.12
05.554;05.601;57;0.087719
05.554;05.604;68;0.102941
05.554;05.607;46;0.065217
05.554;05.611;818;0.133252
05.554;05.613;214;0.023364
05.554;05.614;795;0.350943
05.554;05.615;1719;0.011053
05.554;05.616;37;0.135135
05.554;22.400;47;0.191489
05.555;05.554;1804;0.065965
05.555;05.555;0;0
05.555;05.556;965;0.212435
05.555;05.557;1342;0.28614
05.555;05.558;1126;0.219361
05.555;05.559;752;0.224734
05.555;05.560;541;0.184843
05.555;05.561;1926;0.087227
05.555;05.562;1530;0.37451
05.555;05.563;685;0.277372
05.555;05.564;1491;0.075117
05.555;05.565;1744;0.120413
05.555;05.566;673;0.109955
05.555;05.567;1607;0.051649
05.555;05.568;807;0.203222
05.555;05.569;678;0.268437
05.555;05.570;1166;0.441681
05.555;05.571;639;0.29108
05.555;05.572;498;0.10241
05.555;05.573;996;0.296185
05.555;05.574;241;0.112033
05.555;05.575;666;0.145646
05.555;05.576;44;0.25
05.555;05.577;50;0.08
05.555;05.578;80;0.05
05.555;05.579;132;0.098485
05.555;05.580;31;0.064516
05.555;05.581;24;0.166667
05.555;05.582;318;0.172956
05.555;05.583;35;0.2
05.555;05.584;80;0.175
05.555;05.585;1322;0.051437
05.555;05.586;113;0.212389
05.555;05.587;48;0.104167
05.555;05.588;24;0
05.555;05.589;221;0.135747
05.555;05.590;1233;0.188159
05.555;05.591;356;0.101124
05.555;05.592;13;0.076923
05.555;05.593;123;0.130081
05.555;05.594;26;0
05.555;05.595;1195;0.039331
05.555;05.596;539;0.037106
05.555;05.597;69;0.072464
05.555;05.598;55;0.109091
05.555;05.599;55;0.109091
05.555;05.600;67;0.119403
05.555;05.601;58;0.172414
05.555;05.604;81;0.135802
05.555;05.607;49;0.122449
05.555;05.611;760;0.222368
05.555;05.613;194;0.082474
05.555;05.614;244;0.27459
05.555;05.615;1408;0.027699
05.555;05.616;44;0.204545
05.555;22.400;26;0.230769
05.556;05.554;1165;0.16309
05.556;05.555;1990;0.321608
05.556;05.556;0;0
05.556;05.557;1395;0.216487
05.556;05.558;914;0.09628
05.556;05.559;689;0.127721
05.556;05.560;422;0.066351
05.556;05.561;992;0.08871
05.556;05.562;1485;0.318519
05.556;05.563;962;0.197505
05.556;05.564;657;0.089802
05.556;05.565;928;0.174569
05.556;05.566;501;0.081836
05.556;05.567;738;0.065041
05.556;05.568;816;0.089461
05.556;05.569;485;0.121649
05.556;05.570;2227;0.411316
05.556;05.571;357;0.128852
05.556;05.572;401;0.057357
05.556;05.573;644;0.163043
05.556;05.574;164;0.04878
05.556;05.575;503;0.083499
05.556;05.576;24;0.25
05.556;05.577;53;0.075472
05.556;05.578;88;0.056818
05.556;05.579;111;0.036036
05.556;05.580;35;0.114286
05.556;05.581;20;0.15
05.556;05.582;269;0.081784
05.556;05.583;32;0.1875
05.556;05.584;61;0.131148
05.556;05.585;594;0.099327
05.556;05.586;81;0.160494
05.556;05.587;24;0.041667
05.556;05.588;19;0
05.556;05.589;173;0.063584
05.556;05.590;712;0.103933
05.556;05.591;272;0.044118
05.556;05.592;13;0.076923
05.556;05.593;87;0
05.556;05.594;31;0.032258
05.556;05.595;478;0.048117
05.556;05.596;195;0.051282
05.556;05.597;34;0
05.556;05.598;39;0.025641
05.556;05.599;30;0.166667
05.556;05.600;38;0.026316
05.556;05.601;44;0.068182
05.556;05.604;60;0.05
05.556;05.607;37;0
05.556;05.611;619;0.088853
05.556;05.613;175;0.08
05.556;05.614;1824;0.217105
05.556;05.615;543;0.047882
05.556;05.616;23;0.130435
05.556;22.400;82;0.243902
05.557;05.554;1107;0.154472
05.557;05.555;851;0.178613
05.557;05.556;540;0.101852
05.557;05.557;0;0
05.557;05.558;996;0.139558
05.557;05.559;928;0.269397
05.557;05.560;487;0.201232
05.557;05.561;1355;0.22214
05.557;05.562;2609;0.43235
05.557;05.563;1333;0.303826
05.557;05.564;881;0.179342
05.557;05.565;1410;0.266667
05.557;05.566;506;0.110672
05.557;05.567;935;0.166845
05.557;05.568;967;0.192347
05.557;05.569;533;0.153846
05.557;05.570;1990;0.489447
05.557;05.571;689;0.274311
05.557;05.572;473;0.116279
05.557;05.573;815;0.195092
05.557;05.574;239;0.138075
05.557;05.575;563;0.202487
05.557;05.576;32;0.125
05.557;05.577;58;0.051724
05.557;05.578;109;0.06422
05.557;05.579;146;0.034247
05.557;05.580;34;0.029412
05.557;05.581;23;0.173913
05.557;05.582;234;0.153846
05.557;05.583;24;0.208333
05.557;05.584;55;0.145455
05.557;05.585;840;0.194048
05.557;05.586;102;0.22549
05.557;05.587;31;0.096774
05.557;05.588;16;0
05.557;05.589;192;0.15625
05.557;05.590;967;0.209928
05.557;05.591;314;0.175159
05.557;05.592;16;0.125
05.557;05.593;100;0.13
05.557;05.594;33;0.090909
05.557;05.595;660;0.177273
05.557;05.596;294;0.183673
05.557;05.597;45;0.088889
05.557;05.598;35;0.057143
05.557;05.599;36;0.138889
05.557;05.600;36;0.111111
05.557;05.601;45;0.066667
05.557;05.604;62;0.209677
05.557;05.607;40;0.1
05.557;05.611;674;0.118694
05.557;05.613;200;0.065
05.557;05.614;144;0.319444
05.557;05.615;732;0.177596
05.557;05.616;23;0.173913
05.557;22.400;70;0.314286
05.558;05.554;2584;0.112616
05.558;05.555;1888;0.342161
05.558;05.556;2046;0.349951
05.558;05.557;1570;0.024841
05.558;05.558;0;0
05.558;05.559;611;0.13748
05.558;05.560;547;0.085923
05.558;05.561;777;0.084942
05.558;05.562;1208;0.254967
05.558;05.563;550;0.174545
05.558;05.564;873;0.098511
05.558;05.565;773;0.131953
05.558;05.566;622;0.085209
05.558;05.567;777;0.06435
05.558;05.568;1136;0.113556
05.558;05.569;1000;0.16
05.558;05.570;840;0.310714
05.558;05.571;693;0.174603
05.558;05.572;494;0.072874
05.558;05.573;1085;0.167742
05.558;05.574;180;0.05
05.558;05.575;474;0.120253
05.558;05.576;33;0.212121
05.558;05.577;59;0.033898
05.558;05.578;116;0.034483
05.558;05.579;140;0.05
05.558;05.580;43;0.069767
05.558;05.581;20;0.2
05.558;05.582;333;0.108108
05.558;05.583;29;0.206897
05.558;05.584;81;0.160494
05.558;05.585;635;0.092913
05.558;05.586;112;0.151786
05.558;05.587;37;0.135135
05.558;05.588;21;0.047619
05.558;05.589;236;0.105932
05.558;05.590;853;0.126612
05.558;05.591;221;0.063348
05.558;05.592;18;0.166667
05.558;05.593;147;0.047619
05.558;05.594;40;0.075
05.558;05.595;498;0.058233
05.558;05.596;272;0.073529
05.558;05.597;61;0.114754
05.558;05.598;46;0.130435
05.558;05.599;42;0.142857
05.558;05.600;51;0.196078
05.558;05.601;60;0.05
05.558;05.604;87;0.08046
05.558;05.607;63;0.126984
05.558;05.611;786;0.117048
05.558;05.613;210;0.047619
05.558;05.614;76;0.065789
05.558;05.615;512;0.056641
05.558;05.616;40;0.175
05.558;22.400;45;0.244444
05.559;05.554;3327;0.281335
05.559;05.555;655;0.051908
05.559;05.556;1938;0.024768
05.559;05.557;852;0.13615
05.559;05.558;607;0.128501
05.559;05.559;0;0
05.559;05.560;1112;0.016187
05.559;05.561;773;0.09185
05.559;05.562;820;0.370732
05.559;05.563;595;0.208403
05.559;05.564;619;0.101777
05.559;05.565;697;0.177905
05.559;05.566;385;0.111688
05.559;05.567;616;0.092532
05.559;05.568;471;0.123142
05.559;05.569;380;0.15
05.559;05.570;806;0.439206
05.559;05.571;460;0.184783
05.559;05.572;357;0.072829
05.559;05.573;492;0.178862
05.559;05.574;194;0.046392
05.559;05.575;420;0.135714
05.559;05.576;48;0.166667
05.559;05.577;42;0.071429
05.559;05.578;50;0.04
05.559;05.579;93;0.107527
05.559;05.580;68;0.191176
05.559;05.581;42;0.166667
05.559;05.582;269;0.156134
05.559;05.583;54;0.185185
05.559;05.584;105;0.104762
05.559;05.585;573;0.101222
05.559;05.586;105;0.171429
05.559;05.587;59;0.118644
05.559;05.588;44;0.113636
05.559;05.589;216;0.106481
05.559;05.590;553;0.135624
05.559;05.591;211;0.056872
05.559;05.592;18;0.222222
05.559;05.593;123;0.04065
05.559;05.594;29;0.103448
05.559;05.595;519;0.055877
05.559;05.596;225;0.053333
05.559;05.597;88;0.090909
05.559;05.598;63;0.063492
05.559;05.599;60;0.066667
05.559;05.600;66;0.090909
05.559;05.601;41;0.04878
05.559;05.604;84;0.130952
05.559;05.607;62;0.112903
05.559;05.611;392;0.132653
05.559;05.613;150;0.146667
05.559;05.614;320;0.24375
05.559;05.615;513;0.062378
05.559;05.616;144;0.159722
05.559;22.400;41;0.170732
05.560;05.554;2075;0.474699
05.560;05.555;648;0.209877
05.560;05.556;774;0.037468
05.560;05.557;732;0.113388
05.560;05.558;451;0.035477
05.560;05.559;1056;0.069129
05.560;05.560;0;0
05.560;05.561;524;0.032443
05.560;05.562;481;0.24948
05.560;05.563;303;0.125413
05.560;05.564;510;0.080392
05.560;05.565;453;0.11479
05.560;05.566;379;0.073879
05.560;05.567;525;0.049524
05.560;05.568;449;0.084633
05.560;05.569;398;0.133166
05.560;05.570;384;0.322917
05.560;05.571;446;0.159193
05.560;05.572;347;0.051873
05.560;05.573;425;0.218824
05.560;05.574;184;0.027174
05.560;05.575;335;0.092537
05.560;05.576;55;0.163636
05.560;05.577;34;0.029412
05.560;05.578;42;0.095238
05.560;05.579;83;0.156627
05.560;05.580;56;0.107143
05.560;05.581;47;0.170213
05.560;05.582;285;0.094737
05.560;05.583;61;0.213115
05.560;05.584;109;0.100917
05.560;05.585;471;0.080679
05.560;05.586;138;0.101449
05.560;05.587;77;0.090909
05.560;05.588;54;0.037037
05.560;05.589;252;0.079365
05.560;05.590;455;0.09011
05.560;05.591;190;0.036842
05.560;05.592;24;0.166667
05.560;05.593;130;0.046154
05.560;05.594;32;0.125
05.560;05.595;440;0.036364
05.560;05.596;204;0.04902
05.560;05.597;103;0.087379
05.560;05.598;75;0.053333
05.560;05.599;84;0.166667
05.560;05.600;80;0.075
05.560;05.601;51;0.039216
05.560;05.604;99;0.090909
05.560;05.607;72;0.111111
05.560;05.611;444;0.087838
05.560;05.613;138;0.108696
05.560;05.614;107;0.121495
05.560;05.615;416;0.028846
05.560;05.616;269;0.167286
05.560;22.400;39;0.230769
05.561;05.554;37;0.054054
05.561;05.555;63;0.047619
05.561;05.556;105;0.038095
05.561;05.557;172;0.040698
05.561;05.558;41;0.04878
05.561;05.559;21;0.047619
05.561;05.560;317;0.107256
05.561;05.561;0;0
05.561;05.562;1465;0.288737
05.561;05.563;1105;0.195475
05.561;05.564;1443;0.024255
05.561;05.565;1959;0.131189
05.561;05.566;595;0.055462
05.561;05.567;2072;0.007239
05.561;05.568;611;0.08347
05.561;05.569;486;0.139918
05.561;05.570;1394;0.403874
05.561;05.571;586;0.16041
05.561;05.572;867;0.019608
05.561;05.573;563;0.122558
05.561;05.574;572;0
05.561;05.575;1141;0.031551
05.561;05.576;31;0.096774
05.561;05.577;38;0.131579
05.561;05.578;54;0.055556
05.561;05.579;99;0.040404
05.561;05.580;32;0.0625
05.561;05.581;20;0.1
05.561;05.582;297;0.104377
05.561;05.583;26;0.115385
05.561;05.584;69;0.101449
05.561;05.585;1588;0.017003
05.561;05.586;106;0.103774
05.561;05.587;52;0.134615
05.561;05.588;26;0
05.561;05.589;228;0.118421
05.561;05.590;1049;0.052431
05.561;05.591;761;0.003942
05.561;05.592;16;0
05.561;05.593;88;0.034091
05.561;05.594;21;0.047619
05.561;05.595;1640;0.003049
05.561;05.596;584;0.006849
05.561;05.597;63;0.015873
05.561;05.598;57;0.017544
05.561;05.599;48;0.020833
05.561;05.600;53;0.113208
05.561;05.601;38;0.078947
05.561;05.604;74;0.067568
05.561;05.607;46;0.065217
05.561;05.611;600;0.093333
05.561;05.613;152;0.065789
05.561;05.614;368;0.1875
05.561;05.615;1981;0
05.561;05.616;38;0.052632
05.561;22.400;70;0.214286
05.562;05.554;30;0.133333
05.562;05.555;75;0.08
05.562;05.556;1568;0.03125
05.562;05.557;106;0.141509
05.562;05.558;42;0.095238
05.562;05.559;30;0
05.562;05.560;224;0.066964
05.562;05.561;1100;0.089091
05.562;05.562;0;0
05.562;05.563;1386;0.411255
05.562;05.564;866;0.233256
05.562;05.565;1305;0.374713
05.562;05.566;516;0.118217
05.562;05.567;908;0.218062
05.562;05.568;924;0.245671
05.562;05.569;713;0.230014
05.562;05.570;2079;0.526696
05.562;05.571;748;0.324866
05.562;05.572;495;0.157576
05.562;05.573;571;0.168126
05.562;05.574;222;0.225225
05.562;05.575;604;0.226821
05.562;05.576;27;0.111111
05.562;05.577;58;0.068966
05.562;05.578;106;0.056604
05.562;05.579;151;0.046358
05.562;05.580;38;0.105263
05.562;05.581;23;0.304348
05.562;05.582;304;0.167763
05.562;05.583;25;0.2
05.562;05.584;64;0.1875
05.562;05.585;747;0.270415
05.562;05.586;98;0.265306
05.562;05.587;23;0.304348
05.562;05.588;27;0.074074
05.562;05.589;212;0.169811
05.562;05.590;1055;0.301422
05.562;05.591;367;0.158038
05.562;05.592;17;0.176471
05.562;05.593;107;0.17757
05.562;05.594;36;0.138889
05.562;05.595;658;0.240122
05.562;05.596;285;0.224561
05.562;05.597;55;0.145455
05.562;05.598;50;0.2
05.562;05.599;48;0.208333
05.562;05.600;48;0.208333
05.562;05.601;52;0.096154
05.562;05.604;67;0.238806
05.562;05.607;50;0.18
05.562;05.611;814;0.218673
05.562;05.613;200;0.07
05.562;05.614;767;0.422425
05.562;05.615;760;0.194737
05.562;05.616;33;0.090909
05.562;22.400;68;0.529412
05.563;05.554;654;0.035168
05.563;05.555;16;0.0625
05.563;05.556;105;0.047619
05.563;05.557;32;0.03125
05.563;05.558;1382;0.023155
05.563;05.559;596;0.015101
05.563;05.560;63;0.015873
05.563;05.561;49;0.040816
05.563;05.562;52;0.076923
05.563;05.563;0;0
05.563;05.564;526;0.176806
05.563;05.565;2336;0.325342
05.563;05.566;312;0.150641
05.563;05.567;508;0.139764
05.563;05.568;423;0.170213
05.563;05.569;358;0.240223
05.563;05.570;2358;0.436387
05.563;05.571;525;0.247619
05.563;05.572;311;0.11254
05.563;05.573;491;0.242363
05.563;05.574;130;0.1
05.563;05.575;417;0.16307
05.563;05.576;16;0.4375
05.563;05.577;17;0.058824
05.563;05.578;27;0.111111
05.563;05.579;50;0.1
05.563;05.580;21;0.047619
05.563;05.581;11;0.181818
05.563;05.582;211;0.175355
05.563;05.583;8;0.12
05.563;05.584;41;0.170732
05.563;05.585;480;0.177083
05.563;05.586;54;0.148148
05.563;05.587;21;0.095238
05.563;05.588;16;0
05.563;05.589;143;0.132867
05.563;05.590;682;0.170088
05.563;05.591;186;0.086022
05.563;05.592;3;0.087719
05.563;05.593;60;0.066667
05.563;05.594;10;0.1
05.563;05.595;372;0.129032
05.563;05.596;169;0.12426
05.563;05.597;35;0.028571
05.563;05.598;24;0.041667
05.563;05.599;20;0
05.563;05.600;27;0.037037
05.563;05.601;23;0.173913
05.563;05.604;40;0.1
05.563;05.607;23;0.217391
05.563;05.611;330;0.181818
05.563;05.613;83;0.13253
05.563;05.614;1438;0.201669
05.563;05.615;390;0.110256
05.563;05.616;20;0.05
05.563;22.400;148;0.243243
05.564;05.554;50;0.102941
05.564;05.555;57;0.065217
05.564;05.556;68;0.133252
05.564;05.557;46;0.023364
05.564;05.558;818;0.350943
05.564;05.559;214;0.011053
05.564;05.560;795;0.135135
05.564;05.561;1719;0.191489
05.564;05.562;37;0.212435
05.564;05.563;47;0.28614
05.564;05.564;0;0
05.564;05.565;1395;0.041577
