subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.554;05.554;0;0
05.554;05.555;3525;0.021277
05.554;05.556;2143;0.072795
05.554;05.557;4241;0.187692
05.554;05.558;2173;0.062586
05.554;05.559;2202;0.15713
05.554;05.560;1192;0.031879
05.554;05.561;5301;0.072251
05.554;05.562;4936;0.2656
05.554;05.563;3110;0.185531
05.554;05.564;2689;0.010413
05.554;05.565;4697;0.163934
05.554;05.566;1835;0.014169
05.554;05.567;3410;0.007331
05.554;05.568;1706;0.069168
05.554;05.569;1208;0.014073
05.554;05.570;3548;0.226043
05.554;05.571;1113;0.044025
05.554;05.572;1450;0.004828
05.554;05.573;1731;0.04275
05.554;05.574;598;0.001672
05.554;05.575;2191;0.018257
05.554;05.576;103;0
05.554;05.577;163;0
05.554;05.578;233;0
05.554;05.579;422;0
05.554;05.580;74;0
05.554;05.581;54;0
05.554;05.582;581;0.022375
05.554;05.583;65;0.015385
05.554;05.584;136;0
05.554;05.585;2048;0.009277
05.554;05.586;179;0.011173
05.554;05.587;82;0.012195
05.554;05.588;129;0
05.554;05.589;397;0.002519
05.554;05.590;1727;0.019108
05.554;05.591;1280;0.000781
05.554;05.592;49;0
05.554;05.593;168;0.02381
05.554;05.594;58;0
05.554;05.595;1522;0.000657
05.554;05.596;880;0.005682
05.554;05.597;130;0
05.554;05.598;166;0
05.554;05.599;97;0
05.554;05.600;103;0
05.554;05.601;113;0.026549
05.554;05.604;110;0.018182
05.554;05.607;82;0
05.554;05.611;1706;0.069754
05.554;05.613;618;0
05.554;05.614;1585;0.199369
05.554;05.615;2841;0
05.554;05.616;78;0
05.554;22.400;47;0.106383
05.555;05.554;3525;0.021277
05.555;05.555;0;0
05.555;05.556;1834;0.06325
05.555;05.557;2637;0.107698
05.555;05.558;2088;0.064655
05.555;05.559;1498;0.064085
05.555;05.560;1148;0.028746
05.555;05.561;3482;0.020391
05.555;05.562;2947;0.162199
05.555;05.563;1542;0.095331
05.555;05.564;2474;0.037591
05.555;05.565;3285;0.088889
05.555;05.566;1878;0.036741
05.555;05.567;2857;0.018901
05.555;05.568;1550;0.076129
05.555;05.569;1253;0.067039
05.555;05.570;2507;0.177503
05.555;05.571;1110;0.075676
05.555;05.572;1049;0.023832
05.555;05.573;2213;0.153638
05.555;05.574;391;0.01023
05.555;05.575;1534;0.026076
05.555;05.576;103;0.048544
05.555;05.577;133;0.007519
05.555;05.578;192;0.015625
05.555;05.579;338;0.002959
05.555;05.580;60;0.066667
05.555;05.581;58;0.017241
05.555;05.582;550;0.043636
05.555;05.583;67;0.059701
05.555;05.584;141;0.021277
05.555;05.585;1783;0.03309
05.555;05.586;169;0.047337
05.555;05.587;85;0
05.555;05.588;123;0
05.555;05.589;367;0.019074
05.555;05.590;1800;0.048333
05.555;05.591;949;0.003161
05.555;05.592;46;0
05.555;05.593;178;0.02809
05.555;05.594;50;0
05.555;05.595;1323;0.001512
05.555;05.596;711;0.008439
05.555;05.597;132;0
05.555;05.598;169;0
05.555;05.599;100;0
05.555;05.600;113;0
05.555;05.601;108;0.055556
05.555;05.604;126;0.02381
05.555;05.607;79;0.025316
05.555;05.611;1497;0.06346
05.555;05.613;538;0.007435
05.555;05.614;619;0.074313
05.555;05.615;2353;0
05.555;05.616;89;0.044944
05.555;22.400;26;0.038462
05.556;05.554;2143;0.072795
05.556;05.555;4241;0.187692
05.556;05.556;0;0
05.556;05.557;2496;0.089744
05.556;05.558;2014;0.056604
05.556;05.559;1294;0.074961
05.556;05.560;939;0.020234
05.556;05.561;1767;0.037351
05.556;05.562;2533;0.119621
05.556;05.563;1754;0.121437
05.556;05.564;1356;0.030236
05.556;05.565;1764;0.085034
05.556;05.566;1225;0.048163
05.556;05.567;1400;0.025
05.556;05.568;1701;0.062904
05.556;05.569;1039;0.038499
05.556;05.570;3203;0.14424
05.556;05.571;774;0.033592
05.556;05.572;905;0.033149
05.556;05.573;1404;0.054843
05.556;05.574;287;0.017422
05.556;05.575;1068;0.021536
05.556;05.576;71;0.014085
05.556;05.577;133;0.007519
05.556;05.578;195;0.025641
05.556;05.579;297;0.010101
05.556;05.580;67;0.044776
05.556;05.581;51;0.019608
05.556;05.582;550;0.049091
05.556;05.583;63;0.079365
05.556;05.584;119;0.008403
05.556;05.585;1035;0.033816
05.556;05.586;148;0.047297
05.556;05.587;61;0.016393
05.556;05.588;105;0
05.556;05.589;325;0.024615
05.556;05.590;1204;0.040698
05.556;05.591;538;0.013011
05.556;05.592;40;0
05.556;05.593;157;0.031847
05.556;05.594;59;0
05.556;05.595;581;0.005164
05.556;05.596;315;0.003175
05.556;05.597;94;0.010638
05.556;05.598;152;0
05.556;05.599;67;0.014925
05.556;05.600;84;0
05.556;05.601;89;0
05.556;05.604;109;0.027523
05.556;05.607;65;0
05.556;05.611;1330;0.046617
05.556;05.613;507;0.003945
05.556;05.614;2348;0.120102
05.556;05.615;893;0
05.556;05.616;52;0
05.556;22.400;82;0.121951
05.557;05.554;2173;0.062586
05.557;05.555;2202;0.15713
05.557;05.556;1192;0.031879
05.557;05.557;0;0
05.557;05.558;2224;0.080935
05.557;05.559;2585;0.200387
05.557;05.560;1137;0.039578
05.557;05.561;2844;0.075598
05.557;05.562;5308;0.288056
05.557;05.563;2394;0.147034
05.557;05.564;1649;0.035173
05.557;05.565;2517;0.111641
05.557;05.566;1304;0.032975
05.557;05.567;1743;0.012048
05.557;05.568;1890;0.096296
05.557;05.569;1123;0.043633
05.557;05.570;3381;0.266489
05.557;05.571;1155;0.080519
05.557;05.572;1004;0.013944
05.557;05.573;1854;0.105178
05.557;05.574;379;0.002639
05.557;05.575;1252;0.023163
05.557;05.576;88;0.011364
05.557;05.577;151;0.013245
05.557;05.578;236;0
05.557;05.579;413;0
05.557;05.580;68;0
05.557;05.581;54;0
05.557;05.582;502;0.055777
05.557;05.583;58;0.034483
05.557;05.584;117;0.034188
05.557;05.585;1328;0.043675
05.557;05.586;176;0.068182
05.557;05.587;70;0
05.557;05.588;109;0
05.557;05.589;360;0.05
05.557;05.590;1426;0.043478
05.557;05.591;655;0.003053
05.557;05.592;43;0
05.557;05.593;165;0.024242
05.557;05.594;60;0
05.557;05.595;775;0.005161
05.557;05.596;473;0.021142
05.557;05.597;124;0.016129
05.557;05.598;148;0
05.557;05.599;81;0.012346
05.557;05.600;87;0.011494
05.557;05.601;104;0.048077
05.557;05.604;94;0.074468
05.557;05.607;72;0.041667
05.557;05.611;1502;0.058589
05.557;05.613;600;0.008333
05.557;05.614;387;0.144703
05.557;05.615;1213;0
05.557;05.616;66;0.015152
05.557;22.400;70;0.085714
05.558;05.554;5301;0.072251
05.558;05.555;4936;0.2656
05.558;05.556;3110;0.185531
05.558;05.557;2689;0.010413
05.558;05.558;0;0
05.558;05.559;1224;0.05719
05.558;05.560;1183;0.015216
05.558;05.561;1508;0.019894
05.558;05.562;2245;0.117595
05.558;05.563;1250;0.08
05.558;05.564;1708;0.034543
05.558;05.565;1616;0.053837
05.558;05.566;1476;0.055556
05.558;05.567;1549;0.023886
05.558;05.568;2178;0.085399
05.558;05.569;1731;0.07799
05.558;05.570;1791;0.137912
05.558;05.571;1228;0.038274
05.558;05.572;1071;0.028945
05.558;05.573;2003;0.082876
05.558;05.574;322;0.006211
05.558;05.575;1044;0.017241
05.558;05.576;100;0.05
05.558;05.577;153;0
05.558;05.578;241;0.012448
05.558;05.579;392;0
05.558;05.580;95;0.042105
05.558;05.581;54;0
05.558;05.582;668;0.053892
05.558;05.583;62;0.032258
05.558;05.584;163;0.03681
05.558;05.585;1157;0.054451
05.558;05.586;199;0.050251
05.558;05.587;95;0.031579
05.558;05.588;120;0
05.558;05.589;445;0.026966
05.558;05.590;1375;0.042182
05.558;05.591;487;0.008214
05.558;05.592;45;0
05.558;05.593;233;0.004292
05.558;05.594;75;0.026667
05.558;05.595;607;0.004942
05.558;05.596;457;0.019694
05.558;05.597;160;0.0125
05.558;05.598;178;0.011236
05.558;05.599;92;0
05.558;05.600;127;0.015748
05.558;05.601;126;0.02381
05.558;05.604;146;0.027397
05.558;05.607;106;0.018868
05.558;05.611;1683;0.070113
05.558;05.613;625;0.0064
05.558;05.614;217;0.013825
