subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.554;05.554;0;0
05.554;05.555;1804;0.017738
05.554;05.556;1165;0.056652
05.554;05.557;1990;0.139698
05.554;05.558;1107;0.056911
05.554;05.559;851;0.063455
05.554;05.560;540;0.027778
05.554;05.561;2584;0.0387
05.554;05.562;1888;0.173729
05.554;05.563;2046;0.186217
05.554;05.564;1570;0.010191
05.554;05.565;3327;0.183649
05.554;05.566;655;0.018321
05.554;05.567;1938;0.003612
05.554;05.568;852;0.070423
05.554;05.569;607;0.016474
05.554;05.570;2075;0.261687
05.554;05.571;648;0.058642
05.554;05.572;774;0.001292
05.554;05.573;732;0.02459
05.554;05.574;451;0.002217
05.554;05.575;1056;0.017045
05.554;05.576;37;0
05.554;05.577;63;0
05.554;05.578;105;0
05.554;05.579;172;0
05.554;05.580;41;0
05.554;05.581;21;0
05.554;05.582;317;0.015773
05.554;05.583;30;0
05.554;05.584;75;0
05.554;05.585;1568;0.003827
05.554;05.586;106;0.018868
05.554;05.587;42;0
05.554;05.588;30;0
05.554;05.589;224;0.004464
05.554;05.590;1100;0.025455
05.554;05.591;654;0
05.554;05.592;16;0
05.554;05.593;105;0.028571
05.554;05.594;32;0
05.554;05.595;1382;0.000724
05.554;05.596;596;0.001678
05.554;05.597;63;0
05.554;05.598;49;0
05.554;05.599;52;0
05.554;05.600;50;0
05.554;05.601;57;0.035088
05.554;05.604;68;0.014706
05.554;05.607;46;0
05.554;05.611;818;0.056235
05.554;05.613;214;0
05.554;05.614;795;0.168553
05.554;05.615;1719;0
05.554;05.616;37;0
05.554;22.400;47;0.106383
05.555;05.554;1804;0.017738
05.555;05.555;0;0
05.555;05.556;965;0.050777
05.555;05.557;1342;0.087928
05.555;05.558;1126;0.053286
05.555;05.559;752;0.041223
05.555;05.560;541;0.022181
05.555;05.561;1926;0.009865
05.555;05.562;1530;0.172549
05.555;05.563;685;0.080292
05.555;05.564;1491;0.039571
05.555;05.565;1744;0.054472
05.555;05.566;673;0.044577
05.555;05.567;1607;0.015557
05.555;05.568;807;0.069393
05.555;05.569;678;0.09292
05.555;05.570;1166;0.197256
05.555;05.571;639;0.093897
05.555;05.572;498;0.018072
05.555;05.573;996;0.13253
05.555;05.574;241;0.012448
05.555;05.575;666;0.040541
05.555;05.576;44;0.113636
05.555;05.577;50;0.02
05.555;05.578;80;0
05.555;05.579;132;0.007576
05.555;05.580;31;0.064516
05.555;05.581;24;0
05.555;05.582;318;0.050314
05.555;05.583;35;0.085714
05.555;05.584;80;0.0375
05.555;05.585;1322;0.012103
05.555;05.586;113;0.061947
05.555;05.587;48;0
05.555;05.588;24;0
05.555;05.589;221;0.022624
05.555;05.590;1233;0.052717
05.555;05.591;356;0.005618
05.555;05.592;13;0
05.555;05.593;123;0.03252
05.555;05.594;26;0
05.555;05.595;1195;0.001674
05.555;05.596;539;0.005566
05.555;05.597;69;0
05.555;05.598;55;0
05.555;05.599;55;0
05.555;05.600;67;0
05.555;05.601;58;0.034483
05.555;05.604;81;0.012346
05.555;05.607;49;0.040816
05.555;05.611;760;0.063158
05.555;05.613;194;0.020619
05.555;05.614;244;0.053279
05.555;05.615;1408;0
05.555;05.616;44;0.090909
05.555;22.400;26;0.038462
05.556;05.554;1165;0.056652
05.556;05.555;1990;0.139698
05.556;05.556;0;0
05.556;05.557;1395;0.083871
05.556;05.558;914;0.04267
05.556;05.559;689;0.069666
05.556;05.560;422;0.016588
05.556;05.561;992;0.022177
05.556;05.562;1485;0.109764
05.556;05.563;962;0.108108
05.556;05.564;657;0.016743
05.556;05.565;928;0.078664
05.556;05.566;501;0.033932
05.556;05.567;738;0.006775
05.556;05.568;816;0.045343
05.556;05.569;485;0.035052
05.556;05.570;2227;0.145487
05.556;05.571;357;0.019608
05.556;05.572;401;0.012469
05.556;05.573;644;0.037267
05.556;05.574;164;0.006098
05.556;05.575;503;0.013917
05.556;05.576;24;0
05.556;05.577;53;0.018868
05.556;05.578;88;0.022727
05.556;05.579;111;0
05.556;05.580;35;0.028571
05.556;05.581;20;0
05.556;05.582;269;0.026022
05.556;05.583;32;0.0625
05.556;05.584;61;0
05.556;05.585;594;0.010101
05.556;05.586;81;0.061728
05.556;05.587;24;0
05.556;05.588;19;0
05.556;05.589;173;0.017341
05.556;05.590;712;0.032303
