subject_code_1;subject_code_2;popularity_score
05.554;05.554;0
05.554;05.555;0.002837
05.554;05.556;0.004666
05.554;05.557;0.002358
05.554;05.558;0.004602
05.554;05.559;0.004541
05.554;05.560;0.008389
05.554;05.561;0.001886
05.554;05.562;0.002026
05.554;05.563;0.003215
05.554;05.564;0.003719
05.554;05.565;0.002129
05.554;05.566;0.00545
05.554;05.567;0.002933
05.554;05.568;0.005862
05.554;05.569;0.008278
05.554;05.570;0.002818
05.554;05.571;0.008985
05.554;05.572;0.006897
05.554;05.573;0.005777
05.554;05.574;0.016722
05.554;05.575;0.004564
05.554;05.576;0.097087
05.554;05.577;0.06135
05.554;05.578;0.042918
05.554;05.579;0.023697
05.554;05.580;0.135135
05.554;05.581;0.185185
05.554;05.582;0.017212
05.554;05.583;0.153846
05.554;05.584;0.073529
05.554;05.585;0.004883
05.554;05.586;0.055866
05.554;05.587;0.121951
05.554;05.588;0.077519
05.554;05.589;0.025189
05.554;05.590;0.00579
05.554;05.591;0.007812
05.554;05.592;0.204082
05.554;05.593;0.059524
05.554;05.594;0.172414
05.554;05.595;0.00657
05.554;05.596;0.011364
05.554;05.597;0.076923
05.554;05.598;0.060241
05.554;05.599;0.103093
05.554;05.600;0.097087
05.554;05.601;0.088496
05.554;05.604;0.090909
05.554;05.607;0.121951
05.554;05.611;0.005862
05.554;05.613;0.016181
05.554;05.614;0.006309
05.554;05.615;0.00352
05.554;05.616;0.128205
05.554;22.400;0.212766
05.555;05.554;0.002837
05.555;05.555;0
05.555;05.556;0.005453
05.555;05.557;0.003792
05.555;05.558;0.004789
05.555;05.559;0.006676
05.555;05.560;0.008711
05.555;05.561;0.002872
05.555;05.562;0.003393
05.555;05.563;0.006485
05.555;05.564;0.004042
05.555;05.565;0.003044
05.555;05.566;0.005325
05.555;05.567;0.0035
05.555;05.568;0.006452
05.555;05.569;0.007981
05.555;05.570;0.003989
05.555;05.571;0.009009
05.555;05.572;0.009533
05.555;05.573;0.004519
05.555;05.574;0.025575
05.555;05.575;0.006519
05.555;05.576;0.097087
05.555;05.577;0.075188
05.555;05.578;0.052083
05.555;05.579;0.029586
05.555;05.580;0.166667
05.555;05.581;0.172414
05.555;05.582;0.018182
05.555;05.583;0.149254
05.555;05.584;0.070922
05.555;05.585;0.005609
05.555;05.586;0.059172
05.555;05.587;0.117647
05.555;05.588;0.081301
05.555;05.589;0.027248
05.555;05.590;0.005556
05.555;05.591;0.010537
05.555;05.592;0.217391
05.555;05.593;0.05618
05.555;05.594;0.2
05.555;05.595;0.007559
05.555;05.596;0.014065
05.555;05.597;0.075758
05.555;05.598;0.059172
05.555;05.599;0.1
05.555;05.600;0.088496
05.555;05.601;0.092593
05.555;05.604;0.079365
05.555;05.607;0.126582
05.555;05.611;0.00668
05.555;05.613;0.018587
05.555;05.614;0.016155
05.555;05.615;0.00425
05.555;05.616;0.11236
05.555;22.400;0.384615
05.556;05.554;0.004666
05.556;05.555;0.002358
05.556;05.556;0
05.556;05.557;0.004006
05.556;05.558;0.004965
05.556;05.559;0.007728
05.556;05.560;0.01065
05.556;05.561;0.005659
05.556;05.562;0.003948
05.556;05.563;0.005701
05.556;05.564;0.007375
05.556;05.565;0.005669
05.556;05.566;0.008163
05.556;05.567;0.007143
05.556;05.568;0.005879
05.556;05.569;0.009625
05.556;05.570;0.003122
05.556;05.571;0.01292
05.556;05.572;0.01105
05.556;05.573;0.007123
05.556;05.574;0.034843
05.556;05.575;0.009363
05.556;05.576;0.140845
05.556;05.577;0.075188
05.556;05.578;0.051282
05.556;05.579;0.03367
05.556;05.580;0.149254
05.556;05.581;0.196078
05.556;05.582;0.018182
05.556;05.583;0.15873
05.556;05.584;0.084034
05.556;05.585;0.009662
05.556;05.586;0.067568
05.556;05.587;0.163934
05.556;05.588;0.095238
05.556;05.589;0.030769
05.556;05.590;0.008306
05.556;05.591;0.018587
05.556;05.592;0.25
05.556;05.593;0.063694
05.556;05.594;0.169492
05.556;05.595;0.017212
05.556;05.596;0.031746
05.556;05.597;0.106383
05.556;05.598;0.065789
05.556;05.599;0.149254
05.556;05.600;0.119048
05.556;05.601;0.11236
05.556;05.604;0.091743
05.556;05.607;0.153846
05.556;05.611;0.007519
05.556;05.613;0.019724
05.556;05.614;0.004259
05.556;05.615;0.011198
05.556;05.616;0.192308
05.556;22.400;0.121951
05.557;05.554;0.004602
05.557;05.555;0.004541
05.557;05.556;0.008389
05.557;05.557;0
05.557;05.558;0.004496
05.557;05.559;0.003868
05.557;05.560;0.008795
05.557;05.561;0.003516
05.557;05.562;0.001884
05.557;05.563;0.004177
05.557;05.564;0.006064
05.557;05.565;0.003973
05.557;05.566;0.007669
05.557;05.567;0.005737
05.557;05.568;0.005291
05.557;05.569;0.008905
05.557;05.570;0.002958
05.557;05.571;0.008658
05.557;05.572;0.00996
05.557;05.573;0.005394
05.557;05.574;0.026385
05.557;05.575;0.007987
05.557;05.576;0.113636
05.557;05.577;0.066225
05.557;05.578;0.042373
05.557;05.579;0.024213
05.557;05.580;0.147059
05.557;05.581;0.185185
05.557;05.582;0.01992
05.557;05.583;0.172414
05.557;05.584;0.08547
05.557;05.585;0.00753
05.557;05.586;0.056818
05.557;05.587;0.142857
05.557;05.588;0.091743
05.557;05.589;0.027778
05.557;05.590;0.007013
05.557;05.591;0.015267
05.557;05.592;0.232558
05.557;05.593;0.060606
05.557;05.594;0.166667
05.557;05.595;0.012903
05.557;05.596;0.021142
05.557;05.597;0.080645
05.557;05.598;0.067568
05.557;05.599;0.123457
05.557;05.600;0.114943
05.557;05.601;0.096154
05.557;05.604;0.106383
05.557;05.607;0.138889
05.557;05.611;0.006658
05.557;05.613;0.016667
05.557;05.614;0.02584
05.557;05.615;0.008244
05.557;05.616;0.151515
05.557;22.400;0.142857
05.558;05.554;0.001886
05.558;05.555;0.002026
05.558;05.556;0.003215
05.558;05.557;0.003719
05.558;05.558;0
05.558;05.559;0.00817
05.558;05.560;0.008453
05.558;05.561;0.006631
05.558;05.562;0.004454
05.558;05.563;0.008
05.558;05.564;0.005855
05.558;05.565;0.006188
05.558;05.566;0.006775
05.558;05.567;0.006456
05.558;05.568;0.004591
05.558;05.569;0.005777
05.558;05.570;0.005583
05.558;05.571;0.008143
05.558;05.572;0.009337
05.558;05.573;0.004993
05.558;05.574;0.031056
05.558;05.575;0.009579
05.558;05.576;0.1
05.558;05.577;0.065359
05.558;05.578;0.041494
05.558;05.579;0.02551
