subject_code_1;subject_code_2;popularity_score
05.554;05.554;0
05.554;05.555;0.005543
05.554;05.556;0.008584
05.554;05.557;0.005025
05.554;05.558;0.009033
05.554;05.559;0.011751
05.554;05.560;0.018519
05.554;05.561;0.00387
05.554;05.562;0.005297
05.554;05.563;0.004888
05.554;05.564;0.006369
05.554;05.565;0.003006
05.554;05.566;0.015267
05.554;05.567;0.00516
05.554;05.568;0.011737
05.554;05.569;0.016474
05.554;05.570;0.004819
05.554;05.571;0.015432
05.554;05.572;0.01292
05.554;05.573;0.013661
05.554;05.574;0.022173
05.554;05.575;0.00947
05.554;05.576;0.27027
05.554;05.577;0.15873
05.554;05.578;0.095238
05.554;05.579;0.05814
05.554;05.580;0.243902
05.554;05.581;0.47619
05.554;05.582;0.031546
05.554;05.583;0.333333
05.554;05.584;0.133333
05.554;05.585;0.006378
05.554;05.586;0.09434
05.554;05.587;0.238095
05.554;05.588;0.333333
05.554;05.589;0.044643
05.554;05.590;0.009091
05.554;05.591;0.015291
05.554;05.592;0.625
05.554;05.593;0.095238
05.554;05.594;0.3125
05.554;05.595;0.007236
05.554;05.596;0.016779
05.554;05.597;0.15873
05.554;05.598;0.204082
05.554;05.599;0.192308
05.554;05.600;0.2
05.554;05.601;0.175439
05.554;05.604;0.147059
05.554;05.607;0.217391
05.554;05.611;0.012225
05.554;05.613;0.046729
05.554;05.614;0.012579
05.554;05.615;0.005817
05.554;05.616;0.27027
05.554;22.400;0.212766
05.555;05.554;0.005543
05.555;05.555;0
05.555;05.556;0.010363
05.555;05.557;0.007452
05.555;05.558;0.008881
05.555;05.559;0.013298
05.555;05.560;0.018484
05.555;05.561;0.005192
05.555;05.562;0.006536
05.555;05.563;0.014599
05.555;05.564;0.006707
05.555;05.565;0.005734
05.555;05.566;0.014859
05.555;05.567;0.006223
05.555;05.568;0.012392
05.555;05.569;0.014749
05.555;05.570;0.008576
05.555;05.571;0.015649
05.555;05.572;0.02008
05.555;05.573;0.01004
05.555;05.574;0.041494
05.555;05.575;0.015015
05.555;05.576;0.227273
05.555;05.577;0.2
05.555;05.578;0.125
05.555;05.579;0.075758
05.555;05.580;0.322581
05.555;05.581;0.416667
05.555;05.582;0.031447
05.555;05.583;0.285714
05.555;05.584;0.125
05.555;05.585;0.007564
05.555;05.586;0.088496
05.555;05.587;0.208333
05.555;05.588;0.416667
05.555;05.589;0.045249
05.555;05.590;0.00811
05.555;05.591;0.02809
05.555;05.592;0.769231
05.555;05.593;0.081301
05.555;05.594;0.384615
05.555;05.595;0.008368
05.555;05.596;0.018553
05.555;05.597;0.144928
05.555;05.598;0.181818
05.555;05.599;0.181818
05.555;05.600;0.149254
05.555;05.601;0.172414
05.555;05.604;0.123457
05.555;05.607;0.204082
05.555;05.611;0.013158
05.555;05.613;0.051546
05.555;05.614;0.040984
05.555;05.615;0.007102
05.555;05.616;0.227273
05.555;22.400;0.384615
05.556;05.554;0.008584
05.556;05.555;0.005025
05.556;05.556;0
05.556;05.557;0.007168
05.556;05.558;0.010941
05.556;05.559;0.014514
05.556;05.560;0.023697
05.556;05.561;0.010081
05.556;05.562;0.006734
05.556;05.563;0.010395
05.556;05.564;0.015221
05.556;05.565;0.010776
05.556;05.566;0.01996
05.556;05.567;0.01355
05.556;05.568;0.012255
05.556;05.569;0.020619
05.556;05.570;0.00449
05.556;05.571;0.028011
05.556;05.572;0.024938
05.556;05.573;0.015528
05.556;05.574;0.060976
05.556;05.575;0.019881
05.556;05.576;0.416667
05.556;05.577;0.188679
05.556;05.578;0.113636
05.556;05.579;0.09009
05.556;05.580;0.285714
05.556;05.581;0.5
05.556;05.582;0.037175
05.556;05.583;0.3125
05.556;05.584;0.163934
05.556;05.585;0.016835
05.556;05.586;0.123457
05.556;05.587;0.416667
05.556;05.588;0.526316
05.556;05.589;0.057803
05.556;05.590;0.014045
05.556;05.591;0.036765
05.556;05.592;0.769231
05.556;05.593;0.114943
05.556;05.594;0.322581
05.556;05.595;0.020921
05.556;05.596;0.051282
05.556;05.597;0.294118
05.556;05.598;0.25641
05.556;05.599;0.333333
05.556;05.600;0.263158
05.556;05.601;0.227273
05.556;05.604;0.166667
05.556;05.607;0.27027
05.556;05.611;0.016155
05.556;05.613;0.057143
05.556;05.614;0.005482
05.556;05.615;0.018416
05.556;05.616;0.434783
05.556;22.400;0.121951
05.557;05.554;0.009033
05.557;05.555;0.011751
05.557;05.556;0.018519
05.557;05.557;0
05.557;05.558;0.01004
05.557;05.559;0.010776
05.557;05.560;0.020534
05.557;05.561;0.00738
05.557;05.562;0.003833
05.557;05.563;0.007502
05.557;05.564;0.011351
05.557;05.565;0.007092
05.557;05.566;0.019763
05.557;05.567;0.010695
05.557;05.568;0.010341
05.557;05.569;0.018762
05.557;05.570;0.005025
05.557;05.571;0.014514
05.557;05.572;0.021142
05.557;05.573;0.01227
05.557;05.574;0.041841
05.557;05.575;0.017762
05.557;05.576;0.3125
05.557;05.577;0.172414
05.557;05.578;0.091743
05.557;05.579;0.068493
05.557;05.580;0.294118
05.557;05.581;0.434783
05.557;05.582;0.042735
05.557;05.583;0.416667
05.557;05.584;0.181818
05.557;05.585;0.011905
05.557;05.586;0.098039
05.557;05.587;0.322581
05.557;05.588;0.625
05.557;05.589;0.052083
05.557;05.590;0.010341
05.557;05.591;0.031847
05.557;05.592;0.625
05.557;05.593;0.1
05.557;05.594;0.30303
05.557;05.595;0.015152
05.557;05.596;0.034014
05.557;05.597;0.222222
05.557;05.598;0.285714
05.557;05.599;0.277778
05.557;05.600;0.277778
05.557;05.601;0.222222
05.557;05.604;0.16129
05.557;05.607;0.25
05.557;05.611;0.014837
05.557;05.613;0.05
05.557;05.614;0.069444
05.557;05.615;0.013661
05.557;05.616;0.434783
05.557;22.400;0.142857
05.558;05.554;0.00387
05.558;05.555;0.005297
05.558;05.556;0.004888
05.558;05.557;0.006369
05.558;05.558;0
05.558;05.559;0.016367
05.558;05.560;0.018282
05.558;05.561;0.01287
05.558;05.562;0.008278
05.558;05.563;0.018182
05.558;05.564;0.011455
05.558;05.565;0.012937
05.558;05.566;0.016077
05.558;05.567;0.01287
05.558;05.568;0.008803
05.558;05.569;0.01
05.558;05.570;0.011905
05.558;05.571;0.01443
05.558;05.572;0.020243
05.558;05.573;0.009217
05.558;05.574;0.055556
05.558;05.575;0.021097
05.558;05.576;0.30303
05.558;05.577;0.169492
05.558;05.578;0.086207
05.558;05.579;0.071429
05.558;05.580;0.232558
05.558;05.581;0.5
05.558;05.582;0.03003
05.558;05.583;0.344828
05.558;05.584;0.123457
05.558;05.585;0.015748
05.558;05.586;0.089286
05.558;05.587;0.27027
05.558;05.588;0.47619
05.558;05.589;0.042373
05.558;05.590;0.011723
05.558;05.591;0.045249
05.558;05.592;0.555556
05.558;05.593;0.068027
05.558;05.594;0.25
05.558;05.595;0.02008
05.558;05.596;0.036765
05.558;05.597;0.163934
05.558;05.598;0.217391
05.558;05.599;0.238095
05.558;05.600;0.196078
05.558;05.601;0.166667
05.558;05.604;0.114943
05.558;05.607;0.15873
05.558;05.611;0.012723
05.558;05.613;0.047619
05.558;05.614;0.131579
05.558;05.615;0.019531
05.558;05.616;0.25
05.558;22.400;0.222222
05.559;05.554;0.003006
05.559;05.555;0.015267
05.559;05.556;0.00516
05.559;05.557;0.011737
05.559;05.558;0.016474
05.559;05.559;0
05.559;05.560;0.008993
05.559;05.561;0.012937
05.559;05.562;0.012195
05.559;05.563;0.016807
05.559;05.564;0.016155
05.559;05.565;0.014347
05.559;05.566;0.025974
05.559;05.567;0.016234
05.559;05.568;0.021231
05.559;05.569;0.026316
05.559;05.570;0.012407
05.559;05.571;0.021739
05.559;05.572;0.028011
05.559;05.573;0.020325
05.559;05.574;0.051546
05.559;05.575;0.02381
05.559;05.576;0.208333
05.559;05.577;0.238095
05.559;05.578;0.2
05.559;05.579;0.107527
05.559;05.580;0.147059
05.559;05.581;0.238095
05.559;05.582;0.037175
05.559;05.583;0.185185
05.559;05.584;0.095238
05.559;05.585;0.017452
05.559;05.586;0.095238
05.559;05.587;0.169492
05.559;05.588;0.227273
05.559;05.589;0.046296
05.559;05.590;0.018083
05.559;05.591;0.047393
05.559;05.592;0.555556
05.559;05.593;0.081301
05.559;05.594;0.344828
05.559;05.595;0.019268
05.559;05.596;0.044444
05.559;05.597;0.113636
05.559;05.598;0.15873
05.559;05.599;0.166667
05.559;05.600;0.151515
05.559;05.601;0.243902
05.559;05.604;0.119048
05.559;05.607;0.16129
05.559;05.611;0.02551
05.559;05.613;0.066667
05.559;05.614;0.03125
05.559;05.615;0.019493
05.559;05.616;0.069444
05.559;22.400;0.243902
05.560;05.554;0.004819
05.560;05.555;0.015432
05.560;05.556;0.01292
05.560;05.557;0.013661
05.560;05.558;0.022173
05.560;05.559;0.00947
05.560;05.560;0
05.560;05.561;0.019084
05.560;05.562;0.02079
05.560;05.563;0.033003
05.560;05.564;0.019608
05.560;05.565;0.022075
05.560;05.566;0.026385
05.560;05.567;0.019048
05.560;05.568;0.022272
05.560;05.569;0.025126
05.560;05.570;0.026042
05.560;05.571;0.022422
05.560;05.572;0.028818
05.560;05.573;0.023529
05.560;05.574;0.054348
05.560;05.575;0.029851
05.560;05.576;0.181818
05.560;05.577;0.294118
05.560;05.578;0.238095
05.560;05.579;0.120482
05.560;05.580;0.178571
05.560;05.581;0.212766
05.560;05.582;0.035088
05.560;05.583;0.163934
05.560;05.584;0.091743
05.560;05.585;0.021231
05.560;05.586;0.072464
05.560;05.587;0.12987
05.560;05.588;0.185185
05.560;05.589;0.039683
05.560;05.590;0.021978
05.560;05.591;0.052632
05.560;05.592;0.416667
05.560;05.593;0.076923
05.560;05.594;0.3125
05.560;05.595;0.022727
05.560;05.596;0.04902
05.560;05.597;0.097087
05.560;05.598;0.133333
05.560;05.599;0.119048
05.560;05.600;0.125
05.560;05.601;0.196078
05.560;05.604;0.10101
05.560;05.607;0.138889
05.560;05.611;0.022523
05.560;05.613;0.072464
05.560;05.614;0.093458
05.560;05.615;0.024038
05.560;05.616;0.037175
05.560;22.400;0.25641
05.561;05.554;0.27027
05.561;05.555;0.15873
05.561;05.556;0.095238
05.561;05.557;0.05814
05.561;05.558;0.243902
05.561;05.559;0.47619
05.561;05.560;0.031546
05.561;05.561;0
05.561;05.562;0.006826
05.561;05.563;0.00905
05.561;05.564;0.00693
05.561;05.565;0.005105
05.561;05.566;0.016807
05.561;05.567;0.004826
05.561;05.568;0.016367
05.561;05.569;0.020576
05.561;05.570;0.007174
05.561;05.571;0.017065
05.561;05.572;0.011534
05.561;05.573;0.017762
05.561;05.574;0.017483
05.561;05.575;0.008764
05.561;05.576;0.322581
05.561;05.577;0.263158
05.561;05.578;0.185185
05.561;05.579;0.10101
05.561;05.580;0.3125
05.561;05.581;0.5
05.561;05.582;0.03367
05.561;05.583;0.384615
05.561;05.584;0.144928
05.561;05.585;0.006297
05.561;05.586;0.09434
05.561;05.587;0.192308
05.561;05.588;0.384615
05.561;05.589;0.04386
05.561;05.590;0.009533
05.561;05.591;0.013141
05.561;05.592;0.625
05.561;05.593;0.113636
05.561;05.594;0.47619
05.561;05.595;0.006098
05.561;05.596;0.017123
05.561;05.597;0.15873
05.561;05.598;0.175439
05.561;05.599;0.208333
05.561;05.600;0.188679
05.561;05.601;0.263158
05.561;05.604;0.135135
05.561;05.607;0.217391
05.561;05.611;0.016667
05.561;05.613;0.065789
05.561;05.614;0.027174
05.561;05.615;0.005048
05.561;05.616;0.263158
05.561;22.400;0.142857
05.562;05.554;0.333333
05.562;05.555;0.133333
05.562;05.556;0.006378
05.562;05.557;0.09434
05.562;05.558;0.238095
05.562;05.559;0.333333
05.562;05.560;0.044643
05.562;05.561;0.009091
05.562;05.562;0
05.562;05.563;0.007215
05.562;05.564;0.011547
05.562;05.565;0.007663
05.562;05.566;0.01938
05.562;05.567;0.011013
05.562;05.568;0.010823
05.562;05.569;0.014025
05.562;05.570;0.00481
05.562;05.571;0.013369
05.562;05.572;0.020202
05.562;05.573;0.017513
05.562;05.574;0.045045
05.562;05.575;0.016556
05.562;05.576;0.37037
05.562;05.577;0.172414
05.562;05.578;0.09434
05.562;05.579;0.066225
05.562;05.580;0.263158
05.562;05.581;0.434783
05.562;05.582;0.032895
05.562;05.583;0.4
05.562;05.584;0.15625
05.562;05.585;0.013387
05.562;05.586;0.102041
05.562;05.587;0.434783
05.562;05.588;0.37037
05.562;05.589;0.04717
05.562;05.590;0.009479
05.562;05.591;0.027248
05.562;05.592;0.588235
05.562;05.593;0.093458
05.562;05.594;0.277778
05.562;05.595;0.015198
05.562;05.596;0.035088
05.562;05.597;0.181818
05.562;05.598;0.2
05.562;05.599;0.208333
05.562;05.600;0.208333
05.562;05.601;0.192308
05.562;05.604;0.149254
05.562;05.607;0.2
05.562;05.611;0.012285
05.562;05.613;0.05
05.562;05.614;0.013038
05.562;05.615;0.013158
05.562;05.616;0.30303
05.562;22.400;0.147059
05.563;05.554;0.015291
05.563;05.555;0.625
05.563;05.556;0.095238
05.563;05.557;0.3125
05.563;05.558;0.007236
05.563;05.559;0.016779
05.563;05.560;0.15873
05.563;05.561;0.204082
05.563;05.562;0.192308
05.563;05.563;0
05.563;05.564;0.019011
05.563;05.565;0.004281
05.563;05.566;0.032051
05.563;05.567;0.019685
05.563;05.568;0.023641
05.563;05.569;0.027933
05.563;05.570;0.004241
05.563;05.571;0.019048
05.563;05.572;0.032154
05.563;05.573;0.020367
05.563;05.574;0.076923
05.563;05.575;0.023981
05.563;05.576;0.625
05.563;05.577;0.588235
05.563;05.578;0.37037
05.563;05.579;0.2
05.563;05.580;0.47619
05.563;05.581;0.909091
05.563;05.582;0.047393
05.563;05.583;1
05.563;05.584;0.243902
05.563;05.585;0.020833
05.563;05.586;0.185185
05.563;05.587;0.47619
05.563;05.588;0.625
05.563;05.589;0.06993
05.563;05.590;0.014663
05.563;05.591;0.053763
05.563;05.592;1
05.563;05.593;0.166667
05.563;05.594;1
05.563;05.595;0.026882
05.563;05.596;0.059172
05.563;05.597;0.285714
05.563;05.598;0.416667
05.563;05.599;0.5
05.563;05.600;0.37037
05.563;05.601;0.434783
05.563;05.604;0.25
05.563;05.607;0.434783
05.563;05.611;0.030303
05.563;05.613;0.120482
05.563;05.614;0.006954
05.563;05.615;0.025641
05.563;05.616;0.5
05.563;22.400;0.067568
05.564;05.554;0.2
05.564;05.555;0.175439
05.564;05.556;0.147059
05.564;05.557;0.217391
05.564;05.558;0.012225
05.564;05.559;0.046729
05.564;05.560;0.012579
05.564;05.561;0.005817
05.564;05.562;0.27027
05.564;05.563;0.212766
05.564;05.564;0
05.564;05.565;0.007168
05.564;05.566;0.011976
05.564;05.567;0.006165
05.564;05.568;0.014881
05.564;05.569;0.010571
05.564;05.570;0.015129
05.564;05.571;0.017094
05.564;05.572;0.01938
05.564;05.573;0.010799
05.564;05.574;0.046948
05.564;05.575;0.014556
05.564;05.576;0.222222
05.564;05.577;0.204082
05.564;05.578;0.119048
05.564;05.579;0.064935
05.564;05.580;0.217391
05.564;05.581;0.416667
05.564;05.582;0.021231
05.564;05.583;0.344828
05.564;05.584;0.114943
05.564;05.585;0.006671
05.564;05.586;0.069444
05.564;05.587;0.212766
05.564;05.588;0.384615
05.564;05.589;0.041322
05.564;05.590;0.008389
05.564;05.591;0.034483
05.564;05.592;0.625
05.564;05.593;0.06993
05.564;05.594;0.285714
05.564;05.595;0.009066
05.564;05.596;0.015649
05.564;05.597;0.113636
05.564;05.598;0.172414
05.564;05.599;0.192308
05.564;05.600;0.15625
05.564;05.601;0.192308
05.564;05.604;0.126582
05.564;05.607;0.185185
05.564;05.611;0.016584
05.564;05.613;0.053763
05.564;05.614;0.062112
05.564;05.615;0.007862
05.564;05.616;0.188679
05.564;22.400;0.416667
