subject_code_1;subject_code_2;popularity_score
05.554;05.554;0
05.554;05.555;0.000624
05.554;05.556;0.00049
05.554;05.557;0.000125
05.554;05.558;0.000542
05.554;05.559;0.000294
05.554;05.560;0.001099
05.554;05.561;0.00015
05.554;05.562;9.3e-05
05.554;05.563;0.000141
05.554;05.564;0.001254
05.554;05.565;0.000111
05.554;05.566;0.002122
05.554;05.567;0.001126
05.554;05.568;0.000823
05.554;05.569;0.002642
05.554;05.570;0.000156
05.554;05.571;0.001383
05.554;05.572;0.003067
05.554;05.573;0.000939
05.554;05.574;0.011393
05.554;05.575;0.00122
05.554;05.576;0.029607
05.554;05.577;0.062725
05.554;05.578;0.038806
05.554;05.579;0.020843
05.554;05.580;0.111996
05.554;05.581;0.147889
05.554;05.582;0.005195
05.554;05.583;0.041973
05.554;05.584;0.02812
05.554;05.585;0.001849
05.554;05.586;0.014762
05.554;05.587;0.052848
05.554;05.588;0.065812
05.554;05.589;0.011758
05.554;05.590;0.00127
05.554;05.591;0.003531
05.554;05.592;0.260765
05.554;05.593;0.011162
05.554;05.594;0.051841
05.554;05.595;0.003068
05.554;05.596;0.004612
05.554;05.597;0.023515
05.554;05.598;0.02987
05.554;05.599;0.027331
05.554;05.600;0.03667
05.554;05.601;0.027527
05.554;05.604;0.029425
05.554;05.607;0.051652
05.554;05.611;0.000879
05.554;05.613;0.01328
05.554;05.614;0.000169
05.554;05.615;0.001602
05.554;05.616;0.052259
05.554;22.400;0.010444
05.555;05.554;0.000624
05.555;05.555;0
05.555;05.556;0.000513
05.555;05.557;0.000277
05.555;05.558;4e-04
05.555;05.559;0.000599
05.555;05.560;0.001002
05.555;05.561;0.000402
05.555;05.562;0.000232
05.555;05.563;0.00045
05.555;05.564;0.000832
05.555;05.565;0.000228
05.555;05.566;0.00092
05.555;05.567;0.000976
05.555;05.568;0.000632
05.555;05.569;0.001152
05.555;05.570;0.000225
05.555;05.571;0.000845
05.555;05.572;0.002293
05.555;05.573;0.000294
05.555;05.574;0.01231
05.555;05.575;0.001447
05.555;05.576;0.020193
05.555;05.577;0.037279
05.555;05.578;0.031428
05.555;05.579;0.015219
05.555;05.580;0.033321
05.555;05.581;0.040994
05.555;05.582;0.002547
05.555;05.583;0.03562
05.555;05.584;0.01531
05.555;05.585;0.001301
05.555;05.586;0.009512
05.555;05.587;0.023038
05.555;05.588;0.068707
05.555;05.589;0.003994
05.555;05.590;0.000623
05.555;05.591;0.00438
05.555;05.592;0.166285
05.555;05.593;0.007105
05.555;05.594;0.096377
05.555;05.595;0.002878
05.555;05.596;0.003788
05.555;05.597;0.015698
05.555;05.598;0.014363
05.555;05.599;0.016756
05.555;05.600;0.009424
05.555;05.601;0.014607
05.555;05.604;0.00701
05.555;05.607;0.019326
05.555;05.611;0.000729
05.555;05.613;0.010016
05.555;05.614;0.000707
05.555;05.615;0.001749
05.555;05.616;0.017421
05.555;22.400;0.038504
05.556;05.554;0.00049
05.556;05.555;0.000125
05.556;05.556;0
05.556;05.557;0.000228
05.556;05.558;0.000305
05.556;05.559;0.000569
05.556;05.560;0.000933
05.556;05.561;0.000686
05.556;05.562;0.000224
05.556;05.563;0.000231
05.556;05.564;0.00072
05.556;05.565;0.000384
05.556;05.566;0.000754
05.556;05.567;0.001194
05.556;05.568;0.000383
05.556;05.569;0.000818
05.556;05.570;0.000115
05.556;05.571;0.001069
05.556;05.572;0.001063
05.556;05.573;0.000499
05.556;05.574;0.007986
05.556;05.575;0.001237
05.556;05.576;0.009598
05.556;05.577;0.020943
05.556;05.578;0.017678
05.556;05.579;0.013812
05.556;05.580;0.023498
05.556;05.581;0.029375
05.556;05.582;0.001292
05.556;05.583;0.01895
05.556;05.584;0.010472
05.556;05.585;0.001004
05.556;05.586;0.006656
05.556;05.587;0.011486
05.556;05.588;0.028335
05.556;05.589;0.002792
05.556;05.590;0.00059
05.556;05.591;0.005951
05.556;05.592;0.045081
05.556;05.593;0.005462
05.556;05.594;0.012921
05.556;05.595;0.003339
05.556;05.596;0.00618
05.556;05.597;0.01013
05.556;05.598;0.016994
05.556;05.599;0.018567
05.556;05.600;0.027312
05.556;05.601;0.019517
05.556;05.604;0.006759
05.556;05.607;0.017073
05.556;05.611;0.000627
05.556;05.613;0.005178
05.556;05.614;8.7e-05
05.556;05.615;0.003624
05.556;05.616;0.070076
05.556;22.400;0.005501
05.557;05.554;0.000542
05.557;05.555;0.000294
05.557;05.556;0.001099
05.557;05.557;0
05.557;05.558;0.000373
05.557;05.559;0.000139
05.557;05.560;0.00056
05.557;05.561;0.000276
05.557;05.562;6.4e-05
05.557;05.563;0.000148
05.557;05.564;0.000837
05.557;05.565;0.000241
05.557;05.566;0.001201
05.557;05.567;0.001587
05.557;05.568;0.000429
05.557;05.569;0.001143
05.557;05.570;0.000108
05.557;05.571;0.000533
05.557;05.572;0.001849
05.557;05.573;0.000331
05.557;05.574;0.009373
05.557;05.575;0.001263
05.557;05.576;0.015671
05.557;05.577;0.031573
05.557;05.578;0.021717
05.557;05.579;0.016781
05.557;05.580;0.047426
05.557;05.581;0.023188
05.557;05.582;0.002562
05.557;05.583;0.066863
05.557;05.584;0.020492
05.557;05.585;0.001074
05.557;05.586;0.004642
05.557;05.587;0.027922
05.557;05.588;0.030446
05.557;05.589;0.002403
05.557;05.590;0.000573
05.557;05.591;0.004802
05.557;05.592;0.128667
05.557;05.593;0.006507
05.557;05.594;0.05644
05.557;05.595;0.003713
05.557;05.596;0.004185
05.557;05.597;0.007876
05.557;05.598;0.011266
05.557;05.599;0.00773
05.557;05.600;0.019221
05.557;05.601;0.019454
05.557;05.604;0.00654
05.557;05.607;0.012776
05.557;05.611;0.000983
05.557;05.613;0.005921
05.557;05.614;0.001268
05.557;05.615;0.00337
05.557;05.616;0.02987
05.557;22.400;0.005332
05.558;05.554;0.00015
05.558;05.555;9.3e-05
05.558;05.556;0.000141
05.558;05.557;0.001254
05.558;05.558;0
05.558;05.559;0.000646
05.558;05.560;0.000607
05.558;05.561;0.000985
05.558;05.562;0.000322
05.558;05.563;0.000367
05.558;05.564;0.000561
05.558;05.565;0.000509
05.558;05.566;0.000638
05.558;05.567;0.001021
05.558;05.568;0.000303
05.558;05.569;0.000403
05.558;05.570;0.00029
05.558;05.571;0.000491
05.558;05.572;0.000873
05.558;05.573;0.000312
05.558;05.574;0.005986
05.558;05.575;0.001101
05.558;05.576;0.009442
05.558;05.577;0.037329
05.558;05.578;0.013649
05.558;05.579;0.012168
05.558;05.580;0.012321
05.558;05.581;0.015488
05.558;05.582;0.001045
05.558;05.583;0.044237
05.558;05.584;0.007356
05.558;05.585;0.000872
05.558;05.586;0.00379
05.558;05.587;0.009552
05.558;05.588;0.015008
05.558;05.589;0.001586
05.558;05.590;0.000501
05.558;05.591;0.005452
05.558;05.592;0.041401
05.558;05.593;0.003653
05.558;05.594;0.015182
05.558;05.595;0.002824
05.558;05.596;0.002072
05.558;05.597;0.005801
05.558;05.598;0.006255
05.558;05.599;0.009847
05.558;05.600;0.005227
05.558;05.601;0.007808
05.558;05.604;0.003918
05.558;05.607;0.006754
