subject_code_1;subject_code_2;popularity_score
05.554;05.554;0
05.554;05.555;0.001554
05.554;05.556;0.000969
05.554;05.557;0.000319
05.554;05.558;0.000955
05.554;05.559;0.001375
05.554;05.560;0.003029
05.554;05.561;0.00061
05.554;05.562;4e-04
05.554;05.563;0.000206
05.554;05.564;0.002456
05.554;05.565;0.000146
05.554;05.566;0.005015
05.554;05.567;0.002219
05.554;05.568;0.001481
05.554;05.569;0.003946
05.554;05.570;0.000266
05.554;05.571;0.002078
05.554;05.572;0.006194
05.554;05.573;0.003157
05.554;05.574;0.015032
05.554;05.575;0.002869
05.554;05.576;0.04669
05.554;05.577;0.177882
05.554;05.578;0.089998
05.554;05.579;0.040998
05.554;05.580;0.172309
05.554;05.581;0.273701
05.554;05.582;0.009292
05.554;05.583;0.108236
05.554;05.584;0.037134
05.554;05.585;0.003031
05.554;05.586;0.019868
05.554;05.587;0.143371
05.554;05.588;0.131739
05.554;05.589;0.021506
05.554;05.590;0.001654
05.554;05.591;0.007574
05.554;05.592;1
05.554;05.593;0.014478
05.554;05.594;0.209104
05.554;05.595;0.003729
05.554;05.596;0.00717
05.554;05.597;0.054487
05.554;05.598;0.080533
05.554;05.599;0.041532
05.554;05.600;0.063088
05.554;05.601;0.098714
05.554;05.604;0.044468
05.554;05.607;0.082477
05.554;05.611;0.001919
05.554;05.613;0.027165
05.554;05.614;0.000384
05.554;05.615;0.003073
05.554;05.616;0.07072
05.554;22.400;0.010734
05.555;05.554;0.001554
05.555;05.555;0
05.555;05.556;0.001058
05.555;05.557;0.000671
05.555;05.558;0.000697
05.555;05.559;0.001423
05.555;05.560;0.002171
05.555;05.561;0.000867
05.555;05.562;0.000474
05.555;05.563;0.001064
05.555;05.564;0.00164
05.555;05.565;0.000636
05.555;05.566;0.001983
05.555;05.567;0.001828
05.555;05.568;0.001082
05.555;05.569;0.001681
05.555;05.570;0.000505
05.555;05.571;0.001334
05.555;05.572;0.005014
05.555;05.573;0.000729
05.555;05.574;0.017535
05.555;05.575;0.0031
05.555;05.576;0.03494
05.555;05.577;0.061083
05.555;05.578;0.113868
05.555;05.579;0.038294
05.555;05.580;0.055316
05.555;05.581;0.073901
05.555;05.582;0.003874
05.555;05.583;0.051617
05.555;05.584;0.020508
05.555;05.585;0.002574
05.555;05.586;0.014392
05.555;05.587;0.066379
05.555;05.588;0.166304
05.555;05.589;0.005566
05.555;05.590;0.000861
05.555;05.591;0.011768
05.555;05.592;0.360028
05.555;05.593;0.009218
05.555;05.594;0.16193
05.555;05.595;0.003354
05.555;05.596;0.005082
05.555;05.597;0.023899
05.555;05.598;0.023116
05.555;05.599;0.024458
05.555;05.600;0.011559
05.555;05.601;0.027403
05.555;05.604;0.011551
05.555;05.607;0.024795
05.555;05.611;0.001278
05.555;05.613;0.014869
05.555;05.614;0.00229
05.555;05.615;0.00344
05.555;05.616;0.022955
05.555;22.400;0.039572
05.556;05.554;0.000969
05.556;05.555;0.000319
05.556;05.556;0
05.556;05.557;4e-04
05.556;05.558;0.000872
05.556;05.559;0.001125
05.556;05.560;0.002564
05.556;05.561;0.001353
05.556;05.562;0.000384
05.556;05.563;0.00045
05.556;05.564;0.002144
05.556;05.565;0.000874
05.556;05.566;0.002099
05.556;05.567;0.003012
05.556;05.568;0.000977
05.556;05.569;0.001706
05.556;05.570;0.000157
05.556;05.571;0.002775
05.556;05.572;0.003879
05.556;05.573;0.001216
05.556;05.574;0.022328
05.556;05.575;0.003394
05.556;05.576;0.041613
05.556;05.577;0.031444
05.556;05.578;0.054984
05.556;05.579;0.049165
05.556;05.580;0.04808
05.556;05.581;0.119535
05.556;05.582;0.003246
05.556;05.583;0.028385
05.556;05.584;0.021863
05.556;05.585;0.002754
05.556;05.586;0.01254
05.556;05.587;0.024149
05.556;05.588;0.032025
05.556;05.589;0.005342
05.556;05.590;0.001107
05.556;05.591;0.016312
05.556;05.592;0.13261
05.556;05.593;0.009571
05.556;05.594;0.034082
05.556;05.595;0.006476
05.556;05.596;0.011339
05.556;05.597;0.049767
05.556;05.598;0.042365
05.556;05.599;0.068115
05.556;05.600;0.055155
05.556;05.601;0.063945
05.556;05.604;0.015077
05.556;05.607;0.043711
05.556;05.611;0.001494
05.556;05.613;0.009655
05.556;05.614;0.000113
05.556;05.615;0.007766
05.556;05.616;0.079552
05.556;22.400;0.005654
05.557;05.554;0.000955
05.557;05.555;0.001375
05.557;05.556;0.003029
05.557;05.557;0
05.557;05.558;0.000896
05.557;05.559;0.000643
05.557;05.560;0.001469
05.557;05.561;7e-04
05.557;05.562;0.000152
05.557;05.563;0.000282
05.557;05.564;0.001669
05.557;05.565;0.000507
05.557;05.566;0.002453
05.557;05.567;0.00348
05.557;05.568;0.000736
05.557;05.569;0.001786
05.557;05.570;0.000176
05.557;05.571;0.000787
05.557;05.572;0.003659
05.557;05.573;0.000958
05.557;05.574;0.017405
05.557;05.575;0.003275
05.557;05.576;0.039475
05.557;05.577;0.111016
05.557;05.578;0.055888
05.557;05.579;0.043011
05.557;05.580;0.059556
05.557;05.581;0.042898
05.557;05.582;0.005975
05.557;05.583;0.134618
05.557;05.584;0.038582
05.557;05.585;0.002423
05.557;05.586;0.006174
05.557;05.587;0.063547
05.557;05.588;0.064317
05.557;05.589;0.004192
05.557;05.590;0.000736
05.557;05.591;0.012034
05.557;05.592;0.165416
05.557;05.593;0.008793
05.557;05.594;0.083436
05.557;05.595;0.006316
05.557;05.596;0.010337
05.557;05.597;0.019735
05.557;05.598;0.021456
05.557;05.599;0.023922
05.557;05.600;0.035805
05.557;05.601;0.081899
05.557;05.604;0.010038
05.557;05.607;0.021142
05.557;05.611;0.002166
05.557;05.613;0.009947
05.557;05.614;0.003719
05.557;05.615;0.006891
05.557;05.616;0.072022
