subject_code_1;subject_code_2;overlap_data
05.554;05.554;0
05.554;05.555;0.697674
05.554;05.556;0.565891
05.554;05.557;0.643411
05.554;05.558;0.75969
05.554;05.559;0.635659
05.554;05.560;0.736434
05.554;05.561;0.852713
05.554;05.562;0.51938
05.554;05.563;0.705426
05.554;05.564;0.829457
05.554;05.565;0.015504
05.554;05.566;0.697674
05.554;05.567;0.682171
05.554;05.568;0.364341
05.554;05.569;0.565891
05.554;05.570;0.682171
05.554;05.571;0.689922
05.554;05.572;0.697674
05.554;05.573;0.527132
05.554;05.574;0.565891
05.554;05.575;0.651163
05.554;05.576;0.643411
05.554;05.577;0.72093
05.554;05.578;0.713178
05.554;05.579;0.75969
05.554;05.580;0.503876
05.554;05.581;0.635659
05.554;05.582;0.496124
05.554;05.583;0.736434
05.554;05.584;0.705426
05.554;05.585;0.565891
05.554;05.586;0.75969
05.554;05.587;0.852713
05.554;05.588;0.906977
05.554;05.589;0.767442
05.554;05.590;0.852713
05.554;05.591;0.51938
05.554;05.592;0.705426
05.554;05.593;0.782946
05.554;05.594;0.829457
05.554;05.595;0.883721
05.554;05.596;0.736434
05.554;05.597;0.015504
05.554;05.598;0.697674
05.554;05.599;0.682171
05.554;05.600;0.790698
05.554;05.601;0.364341
05.554;05.604;0.751938
05.554;05.607;0.837209
05.554;05.611;0.751938
05.554;05.613;0.868217
05.554;05.614;0.565891
05.554;05.615;0.682171
05.554;05.616;0.922481
05.554;22.400;0.813953
05.555;05.554;0.689922
05.555;05.555;0
05.555;05.556;0.550388
05.555;05.557;0.612403
05.555;05.558;0.75969
05.555;05.559;0.635659
05.555;05.560;0.713178
05.555;05.561;0.75969
05.555;05.562;0.55814
05.555;05.563;0.620155
05.555;05.564;0.736434
05.555;05.565;0.527132
05.555;05.566;0.635659
05.555;05.567;0.627907
05.555;05.568;0.325581
05.555;05.569;0.550388
05.555;05.570;0.689922
05.555;05.571;0.596899
05.555;05.572;0
05.555;05.573;0.511628
05.555;05.574;0.651163
05.555;05.575;0.612403
05.555;05.576;0
05.555;05.577;0.697674
05.555;05.578;0.666667
05.555;05.579;0.72093
05.555;05.580;0.488372
05.555;05.581;0.713178
05.555;05.582;0.48062
05.555;05.583;0
05.555;05.584;0.550388
05.555;05.585;0.44186
05.555;05.586;0.651163
05.555;05.587;0.503876
05.555;05.588;0.72093
05.555;05.589;0.689922
05.555;05.590;0.744186
05.555;05.591;0
05.555;05.592;0.496124
05.555;05.593;0.666667
05.555;05.594;0
05.555;05.595;0.744186
05.555;05.596;0.689922
05.555;05.597;0.705426
05.555;05.598;0.565891
05.555;05.599;0.75969
05.555;05.600;0.689922
05.555;05.601;0
05.555;05.604;0.75969
05.555;05.607;0.643411
05.555;05.611;0.705426
05.555;05.613;0.751938
05.555;05.614;0.906977
05.555;05.615;0.767442
05.555;05.616;0.75969
05.555;22.400;0.751938
05.556;05.554;0.852713
05.556;05.555;0
05.556;05.556;0
05.556;05.557;0.51938
05.556;05.558;0.565891
05.556;05.559;0.534884
05.556;05.560;0.565891
05.556;05.561;0.565891
05.556;05.562;0.418605
05.556;05.563;0.511628
05.556;05.564;0.542636
05.556;05.565;0.782946
05.556;05.566;0.550388
05.556;05.567;0.51938
05.556;05.568;0.286822
05.556;05.569;0.496124
05.556;05.570;0.565891
05.556;05.571;0.503876
05.556;05.572;0
05.556;05.573;0.48062
05.556;05.574;0.883721
05.556;05.575;0.527132
05.556;05.576;0.736434
05.556;05.577;0.565891
05.556;05.578;0.565891
05.556;05.579;0
05.556;05.580;0.426357
05.556;05.581;0
05.556;05.582;0.410853
05.556;05.583;0
05.556;05.584;0.488372
05.556;05.585;0.364341
05.556;05.586;0.565891
05.556;05.587;0.790698
05.556;05.588;0.565891
05.556;05.589;0.565891
05.556;05.590;0.565891
05.556;05.591;0
05.556;05.592;0.751938
05.556;05.593;0.565891
05.556;05.594;0.837209
05.556;05.595;0.565891
05.556;05.596;0.542636
05.556;05.597;0.751938
05.556;05.598;0.868217
05.556;05.599;0
05.556;05.600;0.565891
05.556;05.601;0
05.556;05.604;0.565891
05.556;05.607;0.527132
05.556;05.611;0.565891
05.556;05.613;0.565891
05.556;05.614;0.922481
05.556;05.615;0.813953
05.556;05.616;0.565891
05.556;22.400;0.565891
05.557;05.554;0
05.557;05.555;0.550388
05.557;05.556;0.612403
05.557;05.557;0
05.557;05.558;0.643411
05.557;05.559;0.542636
05.557;05.560;0.643411
05.557;05.561;0.643411
05.557;05.562;0.465116
05.557;05.563;0.51938
05.557;05.564;0.620155
05.557;05.565;0.635659
05.557;05.566;0.643411
05.557;05.567;0.573643
05.557;05.568;0.286822
05.557;05.569;0.503876
05.557;05.570;0.589147
05.557;05.571;0.550388
05.557;05.572;0.713178
05.557;05.573;0.496124
05.557;05.574;0.75969
05.557;05.575;0.643411
05.557;05.576;0.55814
05.557;05.577;0.627907
05.557;05.578;0.643411
05.557;05.579;0.620155
05.557;05.580;0.503876
05.557;05.581;0.736434
05.557;05.582;0.449612
05.557;05.583;0
05.557;05.584;0.527132
05.557;05.585;0.387597
05.557;05.586;0.643411
05.557;05.587;0.635659
05.557;05.588;0.643411
05.557;05.589;0.643411
05.557;05.590;0.643411
05.557;05.591;0.627907
05.557;05.592;0.325581
05.557;05.593;0.643411
05.557;05.594;0.550388
05.557;05.595;0.643411
05.557;05.596;0.620155
05.557;05.597;0.689922
05.557;05.598;0.596899
05.557;05.599;0
05.557;05.600;0.643411
05.557;05.601;0.511628
05.557;05.604;0.643411
05.557;05.607;0.604651
05.557;05.611;0.643411
05.557;05.613;0.643411
05.557;05.614;0
05.557;05.615;0.612403
05.557;05.616;0.643411
05.557;22.400;0.643411
05.558;05.554;0
05.558;05.555;0.697674
05.558;05.556;0.666667
05.558;05.557;0
05.558;05.558;0
05.558;05.559;0.651163
05.558;05.560;0.751938
05.558;05.561;0.821705
05.558;05.562;0.565891
05.558;05.563;0.635659
05.558;05.564;0.79845
05.558;05.565;0.007752
05.558;05.566;0.697674
05.558;05.567;0.682171
05.558;05.568;0.341085
05.558;05.569;0.565891
05.558;05.570;0.705426
05.558;05.571;0.658915
05.558;05.572;0
05.558;05.573;0.527132
05.558;05.574;0.48062
05.558;05.575;0.651163
05.558;05.576;0
05.558;05.577;0.72093
05.558;05.578;0.713178
05.558;05.579;0.550388
05.558;05.580;0.503876
05.558;05.581;0.44186
05.558;05.582;0.496124
05.558;05.583;0.651163
05.558;05.584;0.612403
05.558;05.585;0.457364
05.558;05.586;0.713178
05.558;05.587;0
05.558;05.588;0.782946
05.558;05.589;0.751938
05.558;05.590;0.806202
05.558;05.591;0.72093
05.558;05.592;0.689922
05.558;05.593;0.728682
05.558;05.594;0.744186
05.558;05.595;0.806202
05.558;05.596;0.751938
05.558;05.597;0
05.558;05.598;0
05.558;05.599;0.666667
05.558;05.600;0.751938
05.558;05.601;0
05.558;05.604;0.813953
05.558;05.607;0.705426
05.558;05.611;0.75969
05.558;05.613;0.813953
05.558;05.614;0.744186
05.558;05.615;0.689922
05.558;05.616;0.821705
05.558;22.400;0.813953
05.559;05.554;0
05.559;05.555;0
05.559;05.556;0
05.559;05.557;0.689922
05.559;05.558;0
05.559;05.559;0
05.559;05.560;0.651163
05.559;05.561;0.651163
05.559;05.562;0.534884
05.559;05.563;0.627907
05.559;05.564;0.627907
05.559;05.565;0.643411
05.559;05.566;0.573643
05.559;05.567;0.565891
05.559;05.568;0.27907
05.559;05.569;0.565891
05.559;05.570;0.651163
05.559;05.571;0.534884
05.559;05.572;0.705426
05.559;05.573;0.527132
05.559;05.574;0.751938
05.559;05.575;0.550388
05.559;05.576;0
05.559;05.577;0.635659
05.559;05.578;0.604651
05.559;05.579;0
05.559;05.580;0.418605
05.559;05.581;0.75969
05.559;05.582;0.434109
05.559;05.583;0.751938
05.559;05.584;0.511628
05.559;05.585;0.395349
05.559;05.586;0.589147
05.559;05.587;0
05.559;05.588;0.651163
05.559;05.589;0.627907
05.559;05.590;0.651163
05.559;05.591;0.51938
05.559;05.592;0.565891
05.559;05.593;0.604651
05.559;05.594;0.534884
05.559;05.595;0.651163
05.559;05.596;0.627907
05.559;05.597;0.565891
05.559;05.598;0.565891
05.559;05.599;0.418605
05.559;05.600;0.627907
05.559;05.601;0.511628
05.559;05.604;0.651163
05.559;05.607;0.581395
05.559;05.611;0.643411
05.559;05.613;0.651163
05.559;05.614;0.542636
05.559;05.615;0
05.559;05.616;0.651163
05.559;22.400;0.651163
05.560;05.554;0.550388
