ASSIG_A;ASSIG_B;n
05.557;05.562;5308
05.554;05.561;5301
05.554;05.562;4936
05.554;05.565;4697
05.554;05.557;4241
05.563;05.565;3721
05.562;05.570;3688
05.554;05.570;3548
05.554;05.555;3525
05.561;05.567;3493
05.563;05.570;3493
05.555;05.561;3482
05.561;05.562;3482
05.554;05.567;3410
05.557;05.570;3381
05.570;05.614;3371
05.555;05.565;3285
05.556;05.570;3203
05.561;05.615;3154
05.554;05.563;3110
05.565;05.570;3100
05.567;05.615;3085
05.555;05.562;2947
05.561;05.565;2928
05.555;05.567;2857
05.557;05.561;2844
05.554;05.615;2841
05.564;05.567;2748
05.554;05.564;2689
05.555;05.557;2637
05.557;05.559;2585
05.567;05.575;2569
05.556;05.562;2533
05.557;05.565;2517
05.555;05.570;2507
05.562;05.563;2500
05.556;05.557;2496
05.555;05.564;2474
05.566;05.567;2453
05.561;05.564;2438
05.561;05.570;2436
05.559;05.562;2431
05.562;05.565;2426
05.557;05.563;2394
05.564;05.565;2384
05.565;05.567;2378
05.555;05.615;2353
05.556;05.614;2348
05.567;05.585;2344
05.558;05.562;2245
05.567;05.572;2244
05.557;05.558;2224
05.555;05.573;2213
05.561;05.575;2209
05.554;05.559;2202
05.554;05.575;2191
05.558;05.568;2178
05.554;05.558;2173
05.554;05.556;2143
05.572;05.575;2129
05.555;05.558;2088
05.568;05.611;2082
05.563;05.614;2079
05.554;05.585;2048
05.565;05.573;2030
05.564;05.590;2026
05.564;05.585;2023
05.556;05.558;2014
05.558;05.573;2003
05.564;05.615;1984
05.575;05.615;1954
05.567;05.590;1951
05.564;05.566;1949
05.561;05.585;1944
05.575;05.585;1938
05.559;05.561;1937
05.561;05.563;1920
05.559;05.560;1902
05.562;05.614;1901
05.557;05.568;1890
05.555;05.566;1878
05.557;05.573;1854
05.554;05.566;1835
05.555;05.556;1834
05.570;05.573;1817
05.565;05.585;1815
05.555;05.590;1800
05.558;05.570;1791
05.561;05.595;1789
