ASSIG_A;ASSIG_B;w
05.570;05.614;1497.673625
05.616;05.616;1411
05.557;05.562;1352.420617
05.563;05.565;1019.591674
05.556;05.614;993.615447
05.554;05.562;931.139455
05.563;05.570;919.897317
05.563;05.614;826.226223
05.557;05.570;804.047577
05.562;05.570;796.679182
05.614;05.614;796
05.562;05.614;794.715637
05.562;05.562;792
05.557;05.557;786
05.554;05.565;785.260703
05.556;05.570;755.726816
05.554;05.557;692.746172
05.554;05.554;671
05.570;05.570;665
05.557;05.559;624.281432
05.558;05.558;622
05.554;05.563;615.946358
05.565;05.570;597.000806
05.557;05.563;588.656194
05.554;05.561;580.025957
05.562;05.563;578.068247
05.554;05.570;555.364638
05.563;05.563;523
05.573;05.573;517
05.554;05.614;513.840222
05.559;05.562;502.682155
05.565;05.565;500
05.561;05.562;480.371931
05.568;05.568;404
05.555;05.555;398
05.556;05.562;387.992367
05.555;05.570;386.267833
05.582;05.582;384
05.555;05.565;381.668907
05.556;05.557;381.160413
05.611;05.611;379
05.556;05.563;375.850588
05.555;05.562;374.104597
05.559;05.614;373.853154
05.589;05.589;373
05.556;05.556;372
05.571;05.571;371
05.565;05.614;364.111078
05.557;05.565;360.366221
05.559;05.559;358
05.565;05.573;331.129869
05.564;05.564;328
05.562;05.565;327.213408
05.585;05.585;321
05.568;05.611;319.489023
05.557;05.561;314.316842
05.555;05.557;313.114198
05.569;05.569;312
05.570;05.573;309.401066
05.558;05.570;299.636575
05.567;05.567;296
05.555;05.573;295.520417
05.554;05.559;295.366432
05.590;05.590;293
05.558;05.568;286.919954
05.556;05.558;285.254241
05.582;05.589;281.186744
05.559;05.570;280.931361
05.558;05.573;278.800968
05.563;05.573;277.407542
05.560;05.560;277
05.566;05.566;271
05.575;05.575;271
05.558;05.562;269.957197
05.559;05.560;268.249425
05.559;05.563;267.194839
05.561;05.570;265.304675
05.557;05.573;262.082837
05.569;05.573;248.081719
05.561;05.563;242.591508
05.558;05.563;236.755132
05.566;05.567;236.260078
05.557;05.558;232.657611
05.568;05.570;231.579194
05.556;05.568;226.607796
05.556;05.565;226.440044
05.575;05.585;224.501273
05.559;05.561;223.785687
05.572;05.575;220.989874
05.572;05.572;219
05.555;05.558;217.436775
05.555;05.561;215.998266
05.558;05.569;215.607045
05.563;05.571;213.306753
05.588;05.588;212
05.571;05.590;209.528077
05.566;05.569;209.390726
05.568;05.569;209.34983
05.564;05.573;207.938363
05.557;05.568;202.544757
05.561;05.565;199.908046
05.564;05.566;198.791625
05.569;05.590;198.674693
05.563;05.590;197.496024
05.567;05.572;196.337911
05.555;05.563;192.89569
05.564;05.569;189.996726
05.569;05.611;189.281161
05.561;05.614;189.117514
05.564;05.590;188.634064
05.570;05.590;183.709086
05.572;05.585;182.392983
05.569;05.571;182.245295
05.571;05.582;181.67677
05.562;05.568;180.834512
05.573;05.590;179.437634
05.554;05.556;177.382919
05.558;05.571;176.84953
05.597;05.599;175.968999
05.556;05.573;174.211793
05.558;05.590;173.444599
05.569;05.572;173.048989
05.571;05.585;172.625925
05.558;05.565;170.665594
05.559;05.565;170.66462
05.555;05.556;169.322689
05.571;05.589;168.184988
05.562;05.590;167.645501
05.571;05.573;166.255211
05.570;05.611;165.94288
05.566;05.582;165.130727
05.572;05.582;164.318079
05.557;05.571;162.932025
05.554;05.558;160.139701
05.595;05.596;159.090587
05.570;05.571;158.652683
05.597;05.598;158.237215
05.581;05.583;156.859847
05.568;05.571;156.463145
05.557;05.560;155.174104
05.558;05.564;154.878822
05.568;05.573;153.399421
05.593;05.613;153.116221
05.561;05.561;153
05.582;05.590;152.965267
05.556;05.559;152.601615
05.557;05.590;151.50866
05.587;05.587;151
05.558;05.611;149.245695
05.582;05.585;148.672718
05.585;05.590;148.285059
05.563;05.564;147.513144
05.562;05.571;147.356095
05.556;05.590;147.177993
05.562;05.611;146.205081
05.571;05.611;146.121797
05.555;05.559;145.133831
05.575;05.589;144.894184
05.598;05.599;143.831472
05.566;05.571;143.729796
05.558;05.560;143.033211
05.564;05.570;142.706777
05.567;05.569;142.213224
05.567;05.590;141.251669
05.575;05.590;141.101341
05.604;05.607;140.222639
05.555;05.590;139.519127
05.554;05.555;139.25488
05.573;05.611;138.700015
05.556;05.611;138.546386
05.555;05.568;137.356013
05.558;05.566;136.102432
05.572;05.590;135.182012
05.568;05.590;134.708165
05.558;05.559;134.394329
05.585;05.589;133.665195
05.564;05.565;133.504459
05.560;05.562;132.983391
05.586;05.587;132.543408
05.566;05.568;131.441125
05.563;05.568;131.301128
05.596;05.604;131.051681
05.569;05.585;130.531665
05.566;05.611;130.191286
05.590;05.611;129.219712
05.597;05.597;129
05.582;05.611;128.508685
