code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.576;Diseño de Redes de Computadores;05.577;Diseño de Sistemas Operativos;13;0.769231
05.578;Arquitectura de Computadores;05.581;Representación del Conocimiento;13;0.769231
05.580;Compiladores;05.581;Representación del Conocimiento;11;0.909091
05.577;Diseño de Sistemas Operativos;05.583;Aprendizaje Computacional;14;0.714286
05.577;Diseño de Sistemas Operativos;05.587;Ingeniería del Software de Componentes y Sistemas Distribuidos;13;0.769231
05.587;Ingeniería del Software de Componentes y Sistemas Distribuidos;05.588;Proyecto de Desarrollo del Software;12;0.833333
05.576;Diseño de Redes de Computadores;05.593;Ingeniería de Requisitos;13;0.769231
05.576;Diseño de Redes de Computadores;05.594;Sistemas Empotrados;11;0.909091
05.581;Representación del Conocimiento;05.596;Fundamentos de Sistemas de Información;13;0.769231
05.577;Diseño de Sistemas Operativos;05.597;Integración de Sistemas de Información;13;0.769231
05.578;Arquitectura de Computadores;05.597;Integración de Sistemas de Información;14;0.714286
05.588;Proyecto de Desarrollo del Software;05.597;Integración de Sistemas de Información;12;0.833333
05.592;Arquitecturas de Computadores Avanzadas;05.597;Integración de Sistemas de Información;13;0.769231
05.592;Arquitecturas de Computadores Avanzadas;05.599;Gestión Funcional de Servicios de SI/TI;12;0.833333
05.593;Ingeniería de Requisitos;05.599;Gestión Funcional de Servicios de SI/TI;13;0.769231
05.594;Sistemas Empotrados;05.614;Iniciación a las Matemáticas para la Ingeniería;13;0.769231
05.586;Análisis y Diseño con Patrones;22.400;Pensamiento Computacional para Aprender a Programar;12;0.833333
05.588;Proyecto de Desarrollo del Software;22.400;Pensamiento Computacional para Aprender a Programar;11;0.909091
05.607;Arquitectura de Bases de Datos;22.400;Pensamiento Computacional para Aprender a Programar;11;0.909091
05.616;Trabajo Final de Grado;22.400;Pensamiento Computacional para Aprender a Programar;13;0.769231
