code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.576;Diseño de Redes de Computadores;05.579;Autómatas y Gramáticas;12;0.833333
05.563;Competencia Comunicativa para Profesionales de las TIC;05.581;Representación del Conocimiento;11;0.909091
05.576;Diseño de Redes de Computadores;05.586;Análisis y Diseño con Patrones;11;0.909091
05.577;Diseño de Sistemas Operativos;05.588;Proyecto de Desarrollo del Software;12;0.833333
05.578;Arquitectura de Computadores;05.588;Proyecto de Desarrollo del Software;11;0.909091
05.586;Análisis y Diseño con Patrones;05.588;Proyecto de Desarrollo del Software;12;0.833333
05.580;Compiladores;05.591;Estructura de Redes de Computadores;12;0.833333
05.555;Prácticas de Programación;05.592;Arquitecturas de Computadores Avanzadas;13;0.769231
05.556;Administración y Gestión de Organizaciones;05.592;Arquitecturas de Computadores Avanzadas;13;0.769231
05.570;Lógica;05.592;Arquitecturas de Computadores Avanzadas;12;0.833333
05.578;Arquitectura de Computadores;05.592;Arquitecturas de Computadores Avanzadas;12;0.833333
05.579;Autómatas y Gramáticas;05.593;Ingeniería de Requisitos;13;0.769231
05.579;Autómatas y Gramáticas;05.594;Sistemas Empotrados;12;0.833333
05.586;Análisis y Diseño con Patrones;05.594;Sistemas Empotrados;12;0.833333
05.583;Aprendizaje Computacional;05.596;Fundamentos de Sistemas de Información;12;0.833333
05.580;Compiladores;05.600;Planificación y Uso Estratégico de SI;13;0.769231
05.579;Autómatas y Gramáticas;05.604;Comercio Electrónico;13;0.769231
05.586;Análisis y Diseño con Patrones;22.400;Pensamiento Computacional para Aprender a Programar;12;0.833333
05.588;Proyecto de Desarrollo del Software;22.400;Pensamiento Computacional para Aprender a Programar;11;0.909091
05.607;Arquitectura de Bases de Datos;22.400;Pensamiento Computacional para Aprender a Programar;11;0.909091
