code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.577;Diseño de Sistemas Operativos;05.583;Aprendizaje Computacional;14;0.526202
05.588;Proyecto de Desarrollo del Software;05.598;Uso de Sistemas de Información en las Organizaciones;79;0.538055
05.596;Fundamentos de Sistemas de Información;05.598;Uso de Sistemas de Información en las Organizaciones;52;0.5286255
05.564;Diseño y Programación Orientada a Objetos;05.599;Gestión Funcional de Servicios de SI/TI;104;0.503887
05.579;Autómatas y Gramáticas;05.599;Gestión Funcional de Servicios de SI/TI;54;0.5053595
05.595;Iniciativa Emprendedora;05.599;Gestión Funcional de Servicios de SI/TI;57;0.5110035
05.591;Estructura de Redes de Computadores;05.600;Planificación y Uso Estratégico de SI;42;0.5423605
05.592;Arquitecturas de Computadores Avanzadas;05.601;Criptografía;38;0.5070475
05.594;Sistemas Empotrados;05.601;Criptografía;40;0.5044075
05.570;Lógica;05.604;Comercio Electrónico;86;0.503969
05.578;Arquitectura de Computadores;05.604;Comercio Electrónico;55;0.5048835
05.579;Autómatas y Gramáticas;05.604;Comercio Electrónico;22;0.606367
05.574;Seguridad de Redes de Computadores;05.607;Arquitectura de Bases de Datos;34;0.535492
05.575;Administración de Redes y Sistemas Operativos;05.607;Arquitectura de Bases de Datos;118;0.5040035
05.576;Diseño de Redes de Computadores;05.613;Diseño de Estructuras de Datos;49;0.5129575
05.577;Diseño de Sistemas Operativos;05.615;Prácticas en Empresa;77;0.507864
05.598;Uso de Sistemas de Información en las Organizaciones;05.615;Prácticas en Empresa;109;0.50651
05.555;Prácticas de Programación;05.616;Trabajo Final de Grado;89;0.5087105
05.554;Fundamentos de Programación;22.400;Pensamiento Computacional para Aprender a Programar;47;0.505222
05.555;Prácticas de Programación;22.400;Pensamiento Computacional para Aprender a Programar;26;0.519252
