code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.579;Autómatas y Gramáticas;05.598;Uso de Sistemas de Información en las Organizaciones;19;0.5274655
05.555;Prácticas de Programación;05.599;Gestión Funcional de Servicios de SI/TI;55;0.512229
05.564;Diseño y Programación Orientada a Objetos;05.599;Gestión Funcional de Servicios de SI/TI;52;0.5126055
05.570;Lógica;05.599;Gestión Funcional de Servicios de SI/TI;32;0.5137575
05.596;Fundamentos de Sistemas de Información;05.599;Gestión Funcional de Servicios de SI/TI;26;0.5634
05.554;Fundamentos de Programación;05.600;Planificación y Uso Estratégico de SI;50;0.531544
05.556;Administración y Gestión de Organizaciones;05.600;Planificación y Uso Estratégico de SI;38;0.5275775
05.591;Estructura de Redes de Computadores;05.600;Planificación y Uso Estratégico de SI;21;0.567015
05.557;Álgebra;05.601;Criptografía;45;0.5409495
05.568;Estadística;05.601;Criptografía;52;0.513003
05.570;Lógica;05.601;Criptografía;26;0.586125
05.596;Fundamentos de Sistemas de Información;05.601;Criptografía;20;0.6472385
05.561;Trabajo en Equipo en la Red;05.607;Arquitectura de Bases de Datos;46;0.5231425
05.567;Uso de Bases de Datos;05.607;Arquitectura de Bases de Datos;58;0.5203085
05.592;Arquitecturas de Computadores Avanzadas;05.613;Diseño de Estructuras de Datos;19;0.513326
05.577;Diseño de Sistemas Operativos;05.615;Prácticas en Empresa;48;0.516164
05.578;Arquitectura de Computadores;05.615;Prácticas en Empresa;54;0.5217545
05.592;Arquitecturas de Computadores Avanzadas;05.615;Prácticas en Empresa;15;0.5294145
05.594;Sistemas Empotrados;05.615;Prácticas en Empresa;34;0.5181075
05.572;Redes y Aplicaciones Internet;22.400;Pensamiento Computacional para Aprender a Programar;30;0.5332915
