code_min;code_max;popularity_score;n
05.554;05.555;0.002837;3525
05.554;05.556;0.004666;2143
05.554;05.557;0.002358;4241
05.554;05.558;0.004602;2173
05.554;05.559;0.004541;2202
05.554;05.560;0.008389;1192
05.554;05.561;0.001886;5301
05.554;05.562;0.002026;4936
05.554;05.563;0.003215;3110
05.554;05.564;0.003719;2689
05.554;05.565;0.002129;4697
05.554;05.566;0.00545;1835
05.554;05.567;0.002933;3410
05.554;05.568;0.005862;1706
05.554;05.569;0.008278;1208
05.554;05.570;0.002818;3548
05.554;05.571;0.008985;1113
05.554;05.572;0.006897;1450
05.554;05.573;0.005777;1731
05.554;05.574;0.016722;598
05.554;05.575;0.004564;2191
05.554;05.576;0.097087;103
05.554;05.577;0.06135;163
05.554;05.578;0.042918;233
05.554;05.579;0.023697;422
05.554;05.580;0.135135;74
05.554;05.581;0.185185;54
05.554;05.582;0.017212;581
05.554;05.583;0.153846;65
05.554;05.584;0.073529;136
05.554;05.585;0.004883;2048
05.554;05.586;0.055866;179
05.554;05.587;0.121951;82
05.554;05.588;0.077519;129
05.554;05.589;0.025189;397
05.554;05.590;0.00579;1727
05.554;05.591;0.007812;1280
05.554;05.592;0.204082;49
05.554;05.593;0.059524;168
05.554;05.594;0.172414;58
05.554;05.595;0.00657;1522
05.554;05.596;0.011364;880
05.554;05.597;0.076923;130
05.554;05.598;0.060241;166
05.554;05.599;0.103093;97
05.554;05.600;0.097087;103
05.554;05.601;0.088496;113
05.554;05.604;0.090909;110
05.554;05.607;0.121951;82
05.554;05.611;0.005862;1706
05.554;05.613;0.016181;618
05.554;05.614;0.006309;1585
05.554;05.615;0.00352;2841
05.554;05.616;0.128205;78
05.554;22.400;0.212766;47
05.555;05.556;0.005453;1834
05.555;05.557;0.003792;2637
05.555;05.558;0.004789;2088
05.555;05.559;0.006676;1498
05.555;05.560;0.008711;1148
05.555;05.561;0.002872;3482
05.555;05.562;0.003393;2947
05.555;05.563;0.006485;1542
05.555;05.564;0.004042;2474
05.555;05.565;0.003044;3285
05.555;05.566;0.005325;1878
05.555;05.567;0.0035;2857
05.555;05.568;0.006452;1550
05.555;05.569;0.007981;1253
05.555;05.570;0.003989;2507
05.555;05.571;0.009009;1110
05.555;05.572;0.009533;1049
05.555;05.573;0.004519;2213
05.555;05.574;0.025575;391
05.555;05.575;0.006519;1534
05.555;05.576;0.097087;103
05.555;05.577;0.075188;133
05.555;05.578;0.052083;192
05.555;05.579;0.029586;338
05.555;05.580;0.166667;60
05.555;05.581;0.172414;58
05.555;05.582;0.018182;550
05.555;05.583;0.149254;67
05.555;05.584;0.070922;141
05.555;05.585;0.005609;1783
05.555;05.586;0.059172;169
05.555;05.587;0.117647;85
05.555;05.588;0.081301;123
05.555;05.589;0.027248;367
05.555;05.590;0.005556;1800
05.555;05.591;0.010537;949
05.555;05.592;0.217391;46
05.555;05.593;0.05618;178
05.555;05.594;0.2;50
05.555;05.595;0.007559;1323
05.555;05.596;0.014065;711
05.555;05.597;0.075758;132
05.555;05.598;0.059172;169
05.555;05.599;0.1;100
05.555;05.600;0.088496;113
05.555;05.601;0.092593;108
05.555;05.604;0.079365;126
05.555;05.607;0.126582;79
05.555;05.611;0.00668;1497
05.555;05.613;0.018587;538
05.555;05.614;0.016155;619
05.555;05.615;0.00425;2353
05.555;05.616;0.11236;89
05.555;22.400;0.384615;26
05.556;05.557;0.004006;2496
05.556;05.558;0.004965;2014
