code_min;code_max;popularity_score;n
05.554;05.555;0.005543;1804
05.554;05.556;0.008584;1165
05.554;05.557;0.005025;1990
05.554;05.558;0.009033;1107
05.554;05.559;0.011751;851
05.554;05.560;0.018519;540
05.554;05.561;0.00387;2584
05.554;05.562;0.005297;1888
05.554;05.563;0.004888;2046
05.554;05.564;0.006369;1570
05.554;05.565;0.003006;3327
05.554;05.566;0.015267;655
05.554;05.567;0.00516;1938
05.554;05.568;0.011737;852
05.554;05.569;0.016474;607
05.554;05.570;0.004819;2075
05.554;05.571;0.015432;648
05.554;05.572;0.01292;774
05.554;05.573;0.013661;732
05.554;05.574;0.022173;451
05.554;05.575;0.00947;1056
05.554;05.576;0.27027;37
05.554;05.577;0.15873;63
05.554;05.578;0.095238;105
05.554;05.579;0.05814;172
05.554;05.580;0.243902;41
05.554;05.581;0.47619;21
05.554;05.582;0.031546;317
05.554;05.583;0.333333;30
05.554;05.584;0.133333;75
05.554;05.585;0.006378;1568
05.554;05.586;0.09434;106
05.554;05.587;0.238095;42
05.554;05.588;0.333333;30
05.554;05.589;0.044643;224
05.554;05.590;0.009091;1100
05.554;05.591;0.015291;654
05.554;05.592;0.625;16
05.554;05.593;0.095238;105
05.554;05.594;0.3125;32
05.554;05.595;0.007236;1382
05.554;05.596;0.016779;596
05.554;05.597;0.15873;63
05.554;05.598;0.204082;49
05.554;05.599;0.192308;52
05.554;05.600;0.2;50
05.554;05.601;0.175439;57
05.554;05.604;0.147059;68
05.554;05.607;0.217391;46
05.554;05.611;0.012225;818
05.554;05.613;0.046729;214
05.554;05.614;0.012579;795
05.554;05.615;0.005817;1719
05.554;05.616;0.27027;37
05.554;22.400;0.212766;47
05.555;05.556;0.010363;965
05.555;05.557;0.007452;1342
05.555;05.558;0.008881;1126
05.555;05.559;0.013298;752
05.555;05.560;0.018484;541
05.555;05.561;0.005192;1926
05.555;05.562;0.006536;1530
05.555;05.563;0.014599;685
05.555;05.564;0.006707;1491
05.555;05.565;0.005734;1744
05.555;05.566;0.014859;673
05.555;05.567;0.006223;1607
05.555;05.568;0.012392;807
05.555;05.569;0.014749;678
05.555;05.570;0.008576;1166
05.555;05.571;0.015649;639
05.555;05.572;0.02008;498
05.555;05.573;0.01004;996
05.555;05.574;0.041494;241
05.555;05.575;0.015015;666
05.555;05.576;0.227273;44
05.555;05.577;0.2;50
05.555;05.578;0.125;80
05.555;05.579;0.075758;132
05.555;05.580;0.322581;31
05.555;05.581;0.416667;24
05.555;05.582;0.031447;318
05.555;05.583;0.285714;35
05.555;05.584;0.125;80
05.555;05.585;0.007564;1322
05.555;05.586;0.088496;113
05.555;05.587;0.208333;48
05.555;05.588;0.416667;24
05.555;05.589;0.045249;221
05.555;05.590;0.00811;1233
05.555;05.591;0.02809;356
05.555;05.592;0.769231;13
05.555;05.593;0.081301;123
05.555;05.594;0.384615;26
05.555;05.595;0.008368;1195
05.555;05.596;0.018553;539
05.555;05.597;0.144928;69
05.555;05.598;0.181818;55
05.555;05.599;0.181818;55
05.555;05.600;0.149254;67
05.555;05.601;0.172414;58
