code_min;code_max;popularity_score;n
05.554;05.555;0.000624;3525
05.554;05.556;0.00049;2143
05.554;05.557;0.0003335;4241
05.554;05.558;0.000346;2173
05.554;05.559;0.0002025;2202
05.554;05.560;0.0006275;1192
05.554;05.561;0.0148785;5301
05.554;05.562;0.021033;4936
05.554;05.563;0.001836;3110
05.554;05.564;0.018962;2689
05.554;05.565;0.000312;4697
05.554;05.566;0.001549;1835
05.554;05.567;0.0081725;3410
05.554;05.568;0.083554;1706
05.554;05.569;0.0016745;1208
05.554;05.570;0.0002695;3548
05.554;05.571;0.0059275;1113
05.554;05.572;0.011292;1450
05.554;05.573;0.001263;1731
05.554;05.574;0.0080175;598
05.554;05.575;0.001244;2191
05.554;05.576;0.0195245;103
05.554;05.577;0.03449;163
05.554;05.578;0.0198715;233
05.554;05.579;0.0121805;422
05.554;05.580;0.0564725;74
05.554;05.581;0.0757305;54
05.554;05.582;0.022797;581
05.554;05.583;0.0253065;65
05.554;05.584;0.0272825;136
05.554;05.585;0.001128;2048
05.554;05.586;0.0096325;179
05.554;05.587;0.0280865;82
05.554;05.588;0.044499;129
05.554;05.589;0.0060865;397
05.554;05.590;0.0009685;1727
05.554;05.591;0.006969;1280
05.554;05.592;0.1356185;49
05.554;05.593;0.006425;168
05.554;05.594;0.0285095;58
05.554;05.595;0.003226;1522
05.554;05.596;0.004444;880
05.554;05.597;0.0133705;130
05.554;05.598;0.0175035;166
05.554;05.599;0.017426;97
05.554;05.600;0.0230725;103
05.554;05.601;0.0664845;113
05.554;05.604;0.024696;110
05.554;05.607;0.027649;82
05.554;05.611;0.005507;1706
05.554;05.613;0.0226975;618
05.554;05.614;0.0004565;1585
05.554;05.615;0.0380985;2841
05.554;05.616;0.0288525;78
05.554;22.400;0.505222;47
05.555;05.556;0.000319;1834
05.555;05.557;0.0002855;2637
05.555;05.558;0.0002465;2088
05.555;05.559;0.0013605;1498
05.555;05.560;0.0011925;1148
05.555;05.561;0.0315635;3482
05.555;05.562;0.014176;2947
05.555;05.563;0.1306075;1542
05.555;05.564;0.0141795;2474
05.555;05.565;0.0002525;3285
05.555;05.566;0.000776;1878
05.555;05.567;0.0171485;2857
05.555;05.568;0.0038685;1550
05.555;05.569;0.0014505;1253
05.555;05.570;0.0005215;2507
05.555;05.571;0.0009245;1110
05.555;05.572;0.004526;1049
05.555;05.573;0.0003615;2213
05.555;05.574;0.020116;391
05.555;05.575;0.0024085;1534
05.555;05.576;0.028761;103
05.555;05.577;0.023563;133
05.555;05.578;0.016571;192
05.555;05.579;0.009845;338
05.555;05.580;0.017547;60
05.555;05.581;0.023285;58
05.555;05.582;0.029507;550
05.555;05.583;0.0180395;67
05.555;05.584;0.0194385;141
05.555;05.585;0.001294;1783
05.555;05.586;0.00828;169
05.555;05.587;0.0117495;85
05.555;05.588;0.0437925;123
05.555;05.589;0.0024045;367
05.555;05.590;0.001456;1800
05.555;05.591;0.007487;949
05.555;05.592;0.085039;46
05.555;05.593;0.0109765;178
05.555;05.594;0.0681485;50
05.555;05.595;0.002435;1323
05.555;05.596;0.006217;711
05.555;05.597;0.0082925;132
05.555;05.598;0.010291;169
05.555;05.599;0.009584;100
05.555;05.600;0.0186145;113
05.555;05.601;0.008622;108
05.555;05.604;0.0096265;126
05.555;05.607;0.011285;79
05.555;05.611;0.007044;1497
05.555;05.613;0.0066915;538
05.555;05.614;0.013004;619
05.555;05.615;0.0039885;2353
05.555;05.616;0.5087105;89
05.555;22.400;0.519252;26
05.556;05.557;0.0006635;2496
05.556;05.558;0.000223;2014
05.556;05.559;0.0008475;1294
05.556;05.560;0.002;939
05.556;05.561;0.019746;1767
05.556;05.562;0.0010365;2533
05.556;05.563;0.0056965;1754
05.556;05.564;0.0150725;1356
05.556;05.565;0.000392;1764
05.556;05.566;0.000953;1225
05.556;05.567;0.021094;1400
05.556;05.568;0.04838;1701
05.556;05.569;0.0091195;1039
05.556;05.570;0.000115;3203
05.556;05.571;0.0038625;774
05.556;05.572;0.009068;905
05.556;05.573;0.000821;1404
05.556;05.574;0.019216;287
05.556;05.575;0.0155535;1068
05.556;05.576;0.0116235;71
05.556;05.577;0.013085;133
05.556;05.578;0.0091795;195
05.556;05.579;0.009151;297
05.556;05.580;0.012148;67
05.556;05.581;0.0167195;51
05.556;05.582;0.0132745;550
05.556;05.583;0.010131;63
05.556;05.584;0.0067255;119
05.556;05.585;0.0006585;1035
05.556;05.586;0.003745;148
05.556;05.587;0.0096325;61
05.556;05.588;0.0425135;105
05.556;05.589;0.001698;325
05.556;05.590;0.0011975;1204
05.556;05.591;0.0069595;538
05.556;05.592;0.0238165;40
05.556;05.593;0.004581;157
05.556;05.594;0.0081435;59
05.556;05.595;0.0032755;581
05.556;05.596;0.006771;315
05.556;05.597;0.006652;94
05.556;05.598;0.0113635;152
05.556;05.599;0.011989;67
05.556;05.600;0.0168215;84
05.556;05.601;0.013601;89
05.556;05.604;0.004532;109
05.556;05.607;0.009903;65
05.556;05.611;0.004646;1330
05.556;05.613;0.0066485;507
05.556;05.614;0.0005105;2348
05.556;05.615;0.0103525;893
05.556;05.616;0.035311;52
05.556;22.400;0.0056315;82
05.557;05.558;0.0008135;2224
05.557;05.559;0.000481;2585
05.557;05.560;0.0007495;1137
05.557;05.561;0.0105595;2844
05.557;05.562;0.007413;5308
05.557;05.563;0.0259945;2394
05.557;05.564;0.0262445;1649
05.557;05.565;0.00042;2517
05.557;05.566;0.000713;1304
05.557;05.567;0.002067;1743
05.557;05.568;0.0016535;1890
05.557;05.569;0.0198235;1123
05.557;05.570;0.0005885;3381
05.557;05.571;0.0060095;1155
05.557;05.572;0.001238;1004
05.557;05.573;0.0002195;1854
05.557;05.574;0.005888;379
05.557;05.575;0.0032975;1252
05.557;05.576;0.0139195;88
05.557;05.577;0.0196905;151
05.557;05.578;0.0139495;236
05.557;05.579;0.0130775;413
05.557;05.580;0.0261355;68
05.557;05.581;0.0146425;54
05.557;05.582;0.017779;502
05.557;05.583;0.0549185;58
05.557;05.584;0.010505;117
05.557;05.585;0.005687;1328
05.557;05.586;0.0049225;176
05.557;05.587;0.027001;70
05.557;05.588;0.0454215;109
05.557;05.589;0.001599;360
05.557;05.590;0.0015515;1426
05.557;05.591;0.005138;655
05.557;05.592;0.0662785;43
05.557;05.593;0.004377;165
05.557;05.594;0.0299525;60
05.557;05.595;0.0085405;775
05.557;05.596;0.00422;473
05.557;05.597;0.0059115;124
05.557;05.598;0.005976;148
05.557;05.599;0.0175675;81
05.557;05.600;0.0215515;87
05.557;05.601;0.0131;104
05.557;05.604;0.50327;94
05.557;05.607;0.0072245;72
05.557;05.611;0.002155;1502
05.557;05.613;0.007301;600
05.557;05.614;0.002096;387
05.557;05.615;0.0061485;1213
05.557;05.616;0.027123;66
05.557;22.400;0.012409;70
05.558;05.559;0.001644;1224
05.558;05.560;0.006;1183
05.558;05.561;0.0564905;1508
05.558;05.562;0.026585;2245
05.558;05.563;0.0017175;1250
05.558;05.564;0.00072;1708
05.558;05.565;0.0007555;1616
05.558;05.566;0.0007415;1476
05.558;05.567;0.0183205;1549
05.558;05.568;0.0020455;2178
05.558;05.569;0.0003155;1731
05.558;05.570;0.0006765;1791
05.558;05.571;0.014413;1228
05.558;05.572;0.0030255;1071
05.558;05.573;0.0004225;2003
05.558;05.574;0.0032795;322
05.558;05.575;0.0008735;1044
05.558;05.576;0.0108815;100
05.558;05.577;0.0206235;153
05.558;05.578;0.0075005;241
05.558;05.579;0.0099455;392
05.558;05.580;0.007024;95
05.558;05.581;0.011352;54
05.558;05.582;0.0318745;668
05.558;05.583;0.0261715;62
05.558;05.584;0.0056835;163
05.558;05.585;0.0009185;1157
05.558;05.586;0.0019475;199
05.558;05.587;0.007077;95
05.558;05.588;0.0082095;120
05.558;05.589;0.0011495;445
05.558;05.590;0.0031525;1375
05.558;05.591;0.0074415;487
05.558;05.592;0.0250865;45
05.558;05.593;0.003179;233
05.558;05.594;0.010271;75
05.558;05.595;0.0051315;607
05.558;05.596;0.0039175;457
05.558;05.597;0.012312;160
05.558;05.598;0.00589;178
05.558;05.599;0.158541;92
05.558;05.600;0.0104775;127
05.558;05.601;0.012352;126
05.558;05.604;0.005563;146
05.558;05.607;0.0047;106
05.558;05.611;0.001909;1683
05.558;05.613;0.003255;625
05.558;05.614;0.007006;217
05.558;05.615;0.002793;877
05.558;05.616;0.013959;98
05.558;22.400;0.0080155;45
05.559;05.560;0.000772;1902
05.559;05.561;0.0741385;1937
05.559;05.562;0.0329925;2431
05.559;05.563;0.0024685;1338
05.559;05.564;0.0071925;1130
05.559;05.565;0.0004555;1381
05.559;05.566;0.0017125;931
05.559;05.567;0.0085075;1167
05.559;05.568;0.008265;1000
05.559;05.569;0.000856;771
05.559;05.570;0.000404;1593
05.559;05.571;0.0018645;828
05.559;05.572;0.0009005;755
05.559;05.573;0.001265;1072
05.559;05.574;0.005492;330
05.559;05.575;0.0009795;865
05.559;05.576;0.0137655;94
05.559;05.577;0.007116;109
05.559;05.578;0.015439;119
05.559;05.579;0.0094695;241
05.559;05.580;0.006037;108
05.559;05.581;0.007956;67
05.559;05.582;0.002158;526
05.559;05.583;0.004626;84
05.559;05.584;0.0582245;182
05.559;05.585;0.0082885;922
05.559;05.586;0.003483;173
05.559;05.587;0.012049;112
05.559;05.588;0.0324475;136
05.559;05.589;0.006938;395
05.559;05.590;0.008187;942
05.559;05.591;0.0116585;441
05.559;05.592;0.0145625;40
05.559;05.593;0.005517;184
05.559;05.594;0.007642;65
05.559;05.595;0.0044295;610
05.559;05.596;0.0026935;338
05.559;05.597;0.0038725;151
05.559;05.598;0.0064315;175
05.559;05.599;0.0186785;101
05.559;05.600;0.008133;119
05.559;05.601;0.0332285;96
05.559;05.604;0.002793;126
05.559;05.607;0.0032415;95
05.559;05.611;0.0014875;876
05.559;05.613;0.0031815;393
05.559;05.614;0.000649;1008
05.559;05.615;0.0041425;819
05.559;05.616;0.012089;217
05.559;22.400;0.011546;41
05.560;05.561;0.0035215;1085
05.560;05.562;0.0062055;1097
05.560;05.563;0.012144;749
05.560;05.564;0.000629;1037
05.560;05.565;0.0006145;991
05.560;05.566;0.000832;891
05.560;05.567;0.0014945;1050
05.560;05.568;0.0076765;913
05.560;05.569;0.000884;762
05.560;05.570;0.004358;923
05.560;05.571;0.0007695;800
05.560;05.572;0.0026985;715
05.560;05.573;0.0005645;970
05.560;05.574;0.066756;319
05.560;05.575;0.001356;733
05.560;05.576;0.00317;113
05.560;05.577;0.0077775;92
05.560;05.578;0.011151;91
05.560;05.579;0.0108355;208
05.560;05.580;0.012467;84
05.560;05.581;0.00688;78
05.560;05.582;0.026865;473
05.560;05.583;0.004865;86
05.560;05.584;0.004619;179
05.560;05.585;0.006344;758
05.560;05.586;0.0053645;208
05.560;05.587;0.002977;126
05.560;05.588;0.008921;143
05.560;05.589;0.0011275;423
05.560;05.590;0.0011175;812
05.560;05.591;0.003291;401
05.560;05.592;0.012999;51
05.560;05.593;0.0041535;191
05.560;05.594;0.014027;61
05.560;05.595;0.0039875;516
05.560;05.596;0.0026035;318
05.560;05.597;0.00223;184
05.560;05.598;0.0029815;186
05.560;05.599;0.035949;139
05.560;05.600;0.5030485;121
05.560;05.601;0.0592155;102
05.560;05.604;0.0042825;141
05.560;05.607;0.0038035;107
