code_min;code_max;popularity_score;n
05.554;05.555;0.001554;1804
05.554;05.556;0.000969;1165
05.554;05.557;0.000637;1990
05.554;05.558;0.0007825;1107
05.554;05.559;0.0007605;851
05.554;05.560;0.0016475;540
05.554;05.561;0.02365;2584
05.554;05.562;0.054318;1888
05.554;05.563;0.00389;2046
05.554;05.564;0.032772;1570
05.554;05.565;0.000602;3327
05.554;05.566;0.0034215;655
05.554;05.567;0.0202565;1938
05.554;05.568;0.1807545;852
05.554;05.569;0.003118;607
05.554;05.570;0.0006215;2075
05.554;05.571;0.0119705;648
05.554;05.572;0.0350695;774
05.554;05.573;0.0033185;732
05.554;05.574;0.010603;451
05.554;05.575;0.003294;1056
05.554;05.576;0.036737;37
05.554;05.577;0.0949805;63
05.554;05.578;0.0457685;105
05.554;05.579;0.025152;172
05.554;05.580;0.087115;41
05.554;05.581;0.1402235;21
05.554;05.582;0.0276765;317
05.554;05.583;0.055291;30
05.554;05.584;0.0205845;75
05.554;05.585;0.0019885;1568
05.554;05.586;0.0108025;106
05.554;05.587;0.079508;42
05.554;05.588;0.1139615;30
05.554;05.589;0.0342545;224
05.554;05.590;0.0022655;1100
05.554;05.591;0.007773;654
05.554;05.592;0.50447;16
05.554;05.593;0.0101185;105
05.554;05.594;0.110872;32
05.554;05.595;0.0024015;1382
05.554;05.596;0.016329;596
05.554;05.597;0.0332245;63
05.554;05.598;0.047471;49
05.554;05.599;0.023103;52
05.554;05.600;0.531544;50
05.554;05.601;0.0565615;57
05.554;05.604;0.0259235;68
05.554;05.607;0.0446135;46
05.554;05.611;0.0018165;818
05.554;05.613;0.0171075;214
05.554;05.614;0.00462;795
05.554;05.615;0.035607;1719
05.554;05.616;0.053518;37
05.554;22.400;0.01135;47
05.555;05.556;0.0006885;965
05.555;05.557;0.001023;1342
05.555;05.558;0.0005485;1126
05.555;05.559;0.003219;752
05.555;05.560;0.0021245;541
05.555;05.561;0.0893745;1926
05.555;05.562;0.018804;1530
