code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.554;Fundamentos de Programación;05.555;Prácticas de Programación;3525;0.002837
05.554;Fundamentos de Programación;05.557;Álgebra;4241;0.002358
05.554;Fundamentos de Programación;05.561;Trabajo en Equipo en la Red;5301;0.001886
05.555;Prácticas de Programación;05.561;Trabajo en Equipo en la Red;3482;0.002872
05.554;Fundamentos de Programación;05.562;Fundamentos de Computadores;4936;0.002026
05.557;Álgebra;05.562;Fundamentos de Computadores;5308;0.001884
05.561;Trabajo en Equipo en la Red;05.562;Fundamentos de Computadores;3482;0.002872
05.554;Fundamentos de Programación;05.563;Competencia Comunicativa para Profesionales de las TIC;3110;0.003215
05.554;Fundamentos de Programación;05.565;Ingeniería del Software;4697;0.002129
05.555;Prácticas de Programación;05.565;Ingeniería del Software;3285;0.003044
05.563;Competencia Comunicativa para Profesionales de las TIC;05.565;Ingeniería del Software;3721;0.002687
05.554;Fundamentos de Programación;05.567;Uso de Bases de Datos;3410;0.002933
05.561;Trabajo en Equipo en la Red;05.567;Uso de Bases de Datos;3493;0.002863
05.554;Fundamentos de Programación;05.570;Lógica;3548;0.002818
05.556;Administración y Gestión de Organizaciones;05.570;Lógica;3203;0.003122
05.557;Álgebra;05.570;Lógica;3381;0.002958
05.562;Fundamentos de Computadores;05.570;Lógica;3688;0.002711
05.563;Competencia Comunicativa para Profesionales de las TIC;05.570;Lógica;3493;0.002863
05.570;Lógica;05.614;Iniciación a las Matemáticas para la Ingeniería;3371;0.002966
05.561;Trabajo en Equipo en la Red;05.615;Prácticas en Empresa;3154;0.003171
