code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.554;Fundamentos de Programación;05.557;Álgebra;1990;0.005025
05.554;Fundamentos de Programación;05.561;Trabajo en Equipo en la Red;2584;0.00387
05.555;Prácticas de Programación;05.561;Trabajo en Equipo en la Red;1926;0.005192
05.554;Fundamentos de Programación;05.562;Fundamentos de Computadores;1888;0.005297
05.557;Álgebra;05.562;Fundamentos de Computadores;2609;0.003833
05.554;Fundamentos de Programación;05.563;Competencia Comunicativa para Profesionales de las TIC;2046;0.004888
05.554;Fundamentos de Programación;05.565;Ingeniería del Software;3327;0.003006
05.561;Trabajo en Equipo en la Red;05.565;Ingeniería del Software;1959;0.005105
05.563;Competencia Comunicativa para Profesionales de las TIC;05.565;Ingeniería del Software;2336;0.004281
05.554;Fundamentos de Programación;05.567;Uso de Bases de Datos;1938;0.00516
05.561;Trabajo en Equipo en la Red;05.567;Uso de Bases de Datos;2072;0.004826
05.554;Fundamentos de Programación;05.570;Lógica;2075;0.004819
05.556;Administración y Gestión de Organizaciones;05.570;Lógica;2227;0.00449
05.557;Álgebra;05.570;Lógica;1990;0.005025
05.562;Fundamentos de Computadores;05.570;Lógica;2079;0.00481
05.563;Competencia Comunicativa para Profesionales de las TIC;05.570;Lógica;2358;0.004241
05.565;Ingeniería del Software;05.570;Lógica;1868;0.005353
05.570;Lógica;05.614;Iniciación a las Matemáticas para la Ingeniería;2700;0.003704
05.561;Trabajo en Equipo en la Red;05.615;Prácticas en Empresa;1981;0.005048
05.567;Uso de Bases de Datos;05.615;Prácticas en Empresa;1924;0.005198
