code_min;name_es_min;code_max;name_es_max;n;popularity_score
05.555;Prácticas de Programación;05.556;Administración y Gestión de Organizaciones;1834;0.000319
05.554;Fundamentos de Programación;05.557;Álgebra;4241;0.0003335
05.555;Prácticas de Programación;05.557;Álgebra;2637;0.0002855
05.554;Fundamentos de Programación;05.558;Análisis Matemático;2173;0.000346
05.555;Prácticas de Programación;05.558;Análisis Matemático;2088;0.0002465
05.556;Administración y Gestión de Organizaciones;05.558;Análisis Matemático;2014;0.000223
05.554;Fundamentos de Programación;05.559;Inglés I;2202;0.0002025
05.554;Fundamentos de Programación;05.565;Ingeniería del Software;4697;0.000312
05.555;Prácticas de Programación;05.565;Ingeniería del Software;3285;0.0002525
05.556;Administración y Gestión de Organizaciones;05.565;Ingeniería del Software;1764;0.000392
05.563;Competencia Comunicativa para Profesionales de las TIC;05.565;Ingeniería del Software;3721;0.0001565
05.558;Análisis Matemático;05.569;Grafos y Complejidad;1731;0.0003155
05.564;Diseño y Programación Orientada a Objetos;05.569;Grafos y Complejidad;1574;0.000344
05.566;Sistemas Operativos;05.569;Grafos y Complejidad;1621;0.0003995
05.554;Fundamentos de Programación;05.570;Lógica;3548;0.0002695
05.556;Administración y Gestión de Organizaciones;05.570;Lógica;3203;0.000115
05.567;Uso de Bases de Datos;05.572;Redes y Aplicaciones Internet;2244;0.000253
05.555;Prácticas de Programación;05.573;Estructura de Computadores;2213;0.0003615
05.557;Álgebra;05.573;Estructura de Computadores;1854;0.0002195
05.572;Redes y Aplicaciones Internet;05.575;Administración de Redes y Sistemas Operativos;2129;0.0003525
