cfg_id;Dpop_variant;Ddif_variant;data_scope;cfg_setup;semester_abs;rows;students;n_real;rec_pass;rec_fail;nrec_pass;nrec_fail;rec_tot;nrec_tot;hit_rate;pass_rate_rec;pass_rate_nrec;delta_pass_rate;lift_pass_rate
1;unweighted;any;all;Dpop=unweighted, Ddif=any, scope=all;20241;2776;2776;8306;2869;889;3687;861;3758;4548;0.452444016373706;0.763437998935604;0.810686015831135;-0.0472480168955305;0.941718475497458
1;unweighted;any;all;Dpop=unweighted, Ddif=any, scope=all;20242;2635;2635;7786;2810;643;3669;664;3453;4333;0.44348831235551;0.813785114393281;0.846757442880222;-0.0329723284869404;0.961060479876284
2;unweighted;any;new;Dpop=unweighted, Ddif=any, scope=new;20241;2776;2776;8306;2964;868;3592;882;3832;4474;0.461353238622682;0.773486430062631;0.802860974519446;-0.0293745444568152;0.963412663725002
2;unweighted;any;new;Dpop=unweighted, Ddif=any, scope=new;20242;2635;2635;7786;2851;663;3628;644;3514;4272;0.451322887233496;0.811326124075128;0.849250936329588;-0.03792481225446;0.95534321996939
3;weighted;any;all;Dpop=weighted, Ddif=any, scope=all;20241;2776;2776;8306;2942;902;3614;848;3844;4462;0.46279797736576;0.765348595213319;0.809950694755715;-0.0446020995423955;0.944932327571066
3;weighted;any;all;Dpop=weighted, Ddif=any, scope=all;20242;2635;2635;7786;2863;626;3616;681;3489;4297;0.448111995890059;0.820578962453425;0.841517337677449;-0.0209383752240243;0.975118307981849
4;weighted;any;new;Dpop=weighted, Ddif=any, scope=new;20241;2776;2776;8306;3094;926;3462;824;4020;4286;0.483987478930893;0.769651741293532;0.80774615025665;-0.0380944089631172;0.95283863754595
4;weighted;any;new;Dpop=weighted, Ddif=any, scope=new;20242;2635;2635;7786;2605;621;3874;686;3226;4560;0.414333418957103;0.807501549907006;0.849561403508772;-0.0420598536017663;0.950492273509537
5;unweighted;both;all;Dpop=unweighted, Ddif=both, scope=all;20241;2776;2776;8306;2921;918;3635;832;3839;4467;0.462196002889478;0.760875227923939;0.813745242892322;-0.0528700149683828;0.935028787657836
5;unweighted;both;all;Dpop=unweighted, Ddif=both, scope=all;20242;2635;2635;7786;2864;644;3615;663;3508;4278;0.450552273311071;0.816419612314709;0.845021037868163;-0.0286014255534535;0.966153001793175
6;unweighted;both;new;Dpop=unweighted, Ddif=both, scope=new;20241;2776;2776;8306;3009;924;3547;826;3933;4373;0.473513123043583;0.765064836003051;0.81111365195518;-0.0460488159521284;0.943227665024342
6;unweighted;both;new;Dpop=unweighted, Ddif=both, scope=new;20242;2635;2635;7786;2832;675;3647;632;3507;4279;0.450423837657334;0.807527801539778;0.852301939705539;-0.0447741381657611;0.947466811842256
7;weighted;both;all;Dpop=weighted, Ddif=both, scope=all;20241;2776;2776;8306;2867;926;3689;824;3793;4513;0.456657837707681;0.755866069074611;0.817416352758697;-0.0615502836840859;0.924701428499247
7;weighted;both;all;Dpop=weighted, Ddif=both, scope=all;20242;2635;2635;7786;2751;671;3728;636;3422;4364;0.439506807089648;0.803915838690824;0.854262144821265;-0.0503463061304409;0.941064570827992
8;weighted;both;new;Dpop=weighted, Ddif=both, scope=new;20241;2776;2776;8306;3092;910;3464;840;4002;4304;0.481820370816277;0.772613693153423;0.804832713754647;-0.0322190206012235;0.959968052925039
8;weighted;both;new;Dpop=weighted, Ddif=both, scope=new;20242;2635;2635;7786;2777;660;3702;647;3437;4349;0.44143334189571;0.807972068664533;0.851230167854679;-0.0432580991901462;0.949181665754202
