ASSIG_B;ASSIG_A;n;dif;subject_name_1;subject_name_2
05.554;05.560;2075;0.474698795180723;Inglés II;Fundamentos de Programación
05.554;05.586;330;0.465203426124197;Análisis y Diseño con Patrones;Fundamentos de Programación
05.555;05.566;807;0.441680960548885;Sistemas Operativos;Prácticas de Programación
05.555;05.573;967;0.489447236180905;Estructura de Computadores;Prácticas de Programación
05.556;05.583;70;0.529411764705882;Aprendizaje Computacional;Administración y Gestión de Organizaciones
05.563;05.577;45;0.439205955334988;Diseño de Sistemas Operativos;Competencia Comunicativa para Profesionales de las TIC
05.569;05.583;604;0.4375;Aprendizaje Computacional;Grafos y Complejidad
05.570;05.554;2075;0.474698795180723;Fundamentos de Programación;Lógica
05.570;05.555;1166;0.441680960548885;Prácticas de Programación;Lógica
05.570;05.557;1990;0.489447236180905;Álgebra;Lógica
05.570;05.559;806;0.439205955334988;Inglés I;Lógica
05.570;05.562;2079;0.526695526695527;Fundamentos de Computadores;Lógica
05.570;05.565;1868;0.465203426124197;Ingeniería del Software;Lógica
05.571;05.570;482;0.462655601659751;Lógica;Gestión de Proyectos
05.575;05.591;106;0.462655601659751;Estructura de Redes de Computadores;Administración de Redes y Sistemas Operativos
05.580;05.581;38;0.526695526695527;Representación del Conocimiento;Compiladores
05.586;05.596;768;0.470588235294118;Fundamentos de Sistemas de Información;Análisis y Diseño con Patrones
05.587;05.576;17;0.470588235294118;Diseño de Redes de Computadores;Ingeniería del Software de Componentes y Sistemas Distribuidos
22.400;05.562;68;0.529411764705882;Fundamentos de Computadores;Pensamiento Computacional para Aprender a Programar
22.400;05.570;128;0.4375;Lógica;Pensamiento Computacional para Aprender a Programar
