ASSIG_B;ASSIG_A;n;dif;subject_name_1;subject_name_2
05.554;05.560;3548;0.226042841037204;Inglés II;Fundamentos de Programación
05.555;05.558;4936;0.265599675850891;Análisis Matemático;Prácticas de Programación
05.557;05.573;3381;0.266489204377403;Estructura de Computadores;Álgebra
05.562;05.554;4936;0.265599675850891;Fundamentos de Programación;Fundamentos de Computadores
05.562;05.557;5308;0.288055764883195;Álgebra;Fundamentos de Computadores
05.562;05.559;2431;0.221308103661045;Inglés I;Fundamentos de Computadores
05.563;05.577;877;0.221308103661045;Diseño de Sistemas Operativos;Competencia Comunicativa para Profesionales de las TIC
05.567;05.572;5308;0.288055764883195;Redes y Aplicaciones Internet;Uso de Bases de Datos
05.567;05.593;206;0.21875;Ingeniería de Requisitos;Uso de Bases de Datos
05.570;05.554;3548;0.226042841037204;Fundamentos de Programación;Lógica
05.570;05.557;3381;0.266489204377403;Álgebra;Lógica
05.570;05.562;3688;0.297722342733189;Fundamentos de Computadores;Lógica
05.570;05.565;3100;0.222258064516129;Ingeniería del Software;Lógica
05.574;05.582;117;0.297722342733189;Inteligencia Artificial;Seguridad de Redes de Computadores
05.582;05.583;161;0.211467648605997;Aprendizaje Computacional;Inteligencia Artificial
05.583;05.586;214;0.222258064516129;Análisis y Diseño con Patrones;Aprendizaje Computacional
05.587;05.576;46;0.239130434782609;Diseño de Redes de Computadores;Ingeniería del Software de Componentes y Sistemas Distribuidos
05.592;05.597;159;0.239130434782609;Integración de Sistemas de Información;Arquitecturas de Computadores Avanzadas
05.614;05.562;1901;0.211467648605997;Fundamentos de Computadores;Iniciación a las Matemáticas para la Ingeniería
22.400;05.570;128;0.21875;Lógica;Pensamiento Computacional para Aprender a Programar
