ASSIG_B;ASSIG_A;n;dif;subject_name_1;subject_name_2
05.554;05.560;2075;0.261686746987952;Inglés II;Fundamentos de Programación
05.554;05.586;330;0.251070663811563;Análisis y Diseño con Patrones;Fundamentos de Programación
05.555;05.573;967;0.28391959798995;Estructura de Computadores;Prácticas de Programación
05.556;05.583;70;0.205882352941176;Aprendizaje Computacional;Administración y Gestión de Organizaciones
05.562;05.557;2609;0.238405519356075;Álgebra;Fundamentos de Computadores
05.565;05.572;487;0.238405519356075;Redes y Aplicaciones Internet;Ingeniería del Software
05.570;05.554;2075;0.261686746987952;Fundamentos de Programación;Lógica
05.570;05.557;1990;0.28391959798995;Álgebra;Lógica
05.570;05.562;2079;0.328042328042328;Fundamentos de Computadores;Lógica
05.570;05.565;1868;0.251070663811563;Ingeniería del Software;Lógica
05.574;05.607;98;0.230769230769231;Arquitectura de Bases de Datos;Seguridad de Redes de Computadores
05.575;05.601;23;0.222222222222222;Criptografía;Administración de Redes y Sistemas Operativos
05.576;05.592;115;0.21875;Arquitecturas de Computadores Avanzadas;Diseño de Redes de Computadores
05.580;05.581;38;0.328042328042328;Representación del Conocimiento;Compiladores
05.586;05.596;768;0.294117647058824;Fundamentos de Sistemas de Información;Análisis y Diseño con Patrones
05.587;05.576;17;0.294117647058824;Diseño de Redes de Computadores;Ingeniería del Software de Componentes y Sistemas Distribuidos
05.592;05.583;18;0.222222222222222;Aprendizaje Computacional;Arquitecturas de Computadores Avanzadas
05.592;05.587;13;0.230769230769231;Ingeniería del Software de Componentes y Sistemas Distribuidos;Arquitecturas de Computadores Avanzadas
22.400;05.562;68;0.205882352941176;Fundamentos de Computadores;Pensamiento Computacional para Aprender a Programar
22.400;05.570;128;0.21875;Lógica;Pensamiento Computacional para Aprender a Programar
